Name,Class,Rating,Total Rater,Facility,Price,Area
de Java Hotel,4-star hotel,4.4,"(2,985)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']",0,Bandung
FOX HARRIS Hotel City Center,4-star hotel,4.3,"(3,103)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 392,758",Bandung
Art Deco Luxury Hotel & Residence,4-star hotel,4.5,"(2,858)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,696,986",Bandung
De Paviljoen,4-star hotel,4.5,"(4,919)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 625,394",Bandung
"Holiday Inn Bandung Pasteur, an IHG Hotel",4-star hotel,4.5,"(9,679)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Pools', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 851,351",Bandung
The Jayakarta Suites Bandung,4-star hotel,4.5,"(7,068)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 545,833",Bandung
Travello Hotel,4-star hotel,4.4,"(2,505)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 511,660",Bandung
D'Sovia Hotel Bandung,4-star hotel,4.2,"(1,033)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0,Bandung
d'primahotel Bandung,4-star hotel,4.2,"(1,637)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 550,000",Bandung
Grand Serela Setiabudhi,4-star hotel,4,"(2,095)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 365,655",Bandung
Grand Setiabudi Hotel,4-star hotel,4.4,"(2,077)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 503,370",Bandung
"Grandia Hotel, Resto & Bakery",4-star hotel,4.5,"(4,066)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 912,980",Bandung
