Nama,Class,Rating,Total Rater,Facility,Price
Menara Peninsula Hotel,4-star hotel,4.4,"(7,494)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 403,209"
grandkemang Jakarta,4-star hotel,4.4,"(5,317)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 482,744"
Best Western Plus Kemayoran Hotel,4-star hotel,4.3,"(4,523)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 383,930"
Grand Whiz Poins Simatupang Jakarta,4-star hotel,4.5,"(3,192)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 435,000"
Somerset Sudirman Jakarta,4-star hotel,4.6,(115),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 1,025,100"
Grand Tjokro,4-star hotel,4.2,"(2,722)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 392,955"
ibis Styles Jakarta Gajah Mada,4-star hotel,4.4,"(3,189)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 476,758"
ASTON Bellevue Radio Dalam,4-star hotel,4.3,"(2,796)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 568,625"
Mercure Jakarta Sabang,4-star hotel,4.4,"(5,097)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 854,228"
HARRIS Hotel Tebet - Jakarta,4-star hotel,4.4,"(6,015)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 523,459"
AONE Hotel Jakarta,4-star hotel,4.3,"(3,686)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 570,000"
Century Park,4-star hotel,4.5,"(10,212)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 700,000"
Ambhara Hotel,4-star hotel,4.3,"(5,710)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 250,300"
Millennium Hotel Sirih Jakarta,4-star hotel,4.5,"(9,539)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 472,223"
Oakwood Apartments PIK Jakarta,4-star hotel,4.6,"(1,549)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 860,766"
Hotel GranDhika Iskandarsyah,4-star hotel,4.5,"(5,256)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 576,606"
Morrissey Hotel,4-star hotel,4.6,"(4,483)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 959,310"
Novotel Jakarta Gajah Mada,4-star hotel,4.4,"(5,251)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 608,598"
JS Luwansa,4-star hotel,4.5,"(7,792)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 899,390"
Hotel Kartika Chandra,4-star hotel,4.3,"(6,269)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 483,129"
Santika Premiere Hayam Wuruk,4-star hotel,4.5,"(4,288)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 526,899"
Mercure Jakarta Cikini,4-star hotel,4.5,"(4,083)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 892,902"
Sari Pacific Jakarta,4-star hotel,4.5,"(8,544)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 828,520"
Avenzel Hotel and Convention Cibubur,4-star hotel,4.6,"(3,510)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 813,677"
Sunlake Hotel,4-star hotel,4.4,"(7,683)","['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 512,000"
Mercure Convention Center Ancol,4-star hotel,4.4,"(10,555)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Beach access']","IDR 797,768"
Hotel Santika Premiere Kota Harapan Indah,4-star hotel,4.5,"(6,769)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 672,758"
Swiss-Belhotel Mangga Besar,4-star hotel,4.4,"(6,154)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 513,679"
d'primahotel Tangerang,4-star hotel,4.4,"(6,468)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 444,030"
Akmani Hotel Jakarta,4-star hotel,4.2,"(2,883)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 597,788"
THE 1O1 Jakarta Sedayu Darmawangsa,4-star hotel,4.5,"(2,630)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 558,612"
Cosmo Amaroossa Jakarta,4-star hotel,4.3,"(3,186)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 396,828"
DiscoveryAncol,4-star hotel,4.3,"(3,727)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 612,258"
The Margo Hotel,4-star hotel,4.6,"(9,652)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 749,686"
HARRIS Vertu Hotel Harmoni - Jakarta,4-star hotel,4.6,"(7,411)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 736,836"
Mercure Jakarta Simatupang,4-star hotel,4.4,"(5,337)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 621,726"
HARRIS Hotel & Conventions Kelapa Gading,4-star hotel,4.6,"(3,932)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 703,615"
Kristal Hotel,4-star hotel,4.4,"(4,444)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 619,463"
Swiss-Belresidences Rasuna Epicentrum,4-star hotel,4.5,(906),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 576,300"
Sotis Hotel Kemang Jakarta,4-star hotel,4.5,(423),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 928,571"
Kosenda Hotel,4-star hotel,4.4,(999),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 600,000"
Lumire Hotel & Convention Center,4-star hotel,4.4,"(6,094)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 766,972"
FM7 Resort Hotel Jakarta Airport,4-star hotel,4.3,"(5,102)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 585,098"
Novotel Jakarta Cikini,4-star hotel,4.7,"(2,199)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 938,288"
Grand Tropic Suites Hotel Jakarta,4-star hotel,4.2,"(3,583)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Kitchen in some rooms']","IDR 461,548"
Oasis Amir Hotel,4-star hotel,4.1,"(3,870)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant']","IDR 437,774"
Swiss-Belresidences Kalibata,4-star hotel,4.7,"(11,067)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 562,667"
