Name,Class,Rating,Total Rater,Facility,Price,Area
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
DEKA HOTEL SURABAYA HR MUHAMMAD,2-star hotel,4.4,(607),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 270,810",Surabaya
OYO Flagship 1575 Urban 18,2-star hotel,3.6,(353),"['Free Wi-Fi', 'Air conditioning', 'Restaurant']","IDR 104,826",Surabaya
OYO 231 Hotel Andita Syariah,2-star hotel,4.2,(671),"['Free Wi-Fi', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 115,593",Surabaya
OYO 157 We Stay Residence,2-star hotel,3,(195),"['Wi-Fi', 'Pool', 'Air conditioning', 'Child-friendly']","IDR 65,441",Surabaya
OYO 179 68 Residence,2-star hotel,4.1,(261),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 70,426",Surabaya
OYO Flagship 3688 Pot Art,2-star hotel,3.9,(281),"['Free Wi-Fi', 'Air conditioning']","IDR 113,560",Surabaya
D'Paragon Kalijudan Surabaya,2-star hotel,4.4,(387),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 184,110",Surabaya
RedDoorz Plus near Galaxy Mall,2-star hotel,3.8,(243),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 104,854",Surabaya
OYO 2075 Graha Marina,2-star hotel,4.2,(159),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 170,112",Surabaya
Grace Setia Hotel,2-star hotel,4.1,(709),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 692,312",Surabaya
SPOT ON 90110 A1 Pakis Argosari,2-star hotel,2.7,(47),['Free Wi-Fi'],"IDR 66,561",Surabaya
RedDoorz @ Jemursari Surabaya 2,2-star hotel,4.4,(142),"['Free Wi-Fi', 'Air conditioning']","IDR 112,515",Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
RedDoorz @ Urip Sumoharjo,2-star hotel,4,(87),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 120,375",Surabaya
OYO 143 Dukuh Kupang Residence,2-star hotel,4,(270),['Free Wi-Fi'],"IDR 84,413",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 130,500",Surabaya
OYO 252 Istana Permata Ngagel,2-star hotel,3.5,"(1,097)","['Free breakfast', 'Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 222,428",Surabaya
Audah Syariah Residence RedPartner,2-star hotel,4.1,(464),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 94,656",Surabaya
OYO 3966 Jemur Residence,2-star hotel,2,(4),['Free Wi-Fi'],"IDR 104,979",Surabaya
Hotel Cemara,2-star hotel,3.8,(244),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",0,Surabaya
Hotel Pasah Asi,2-star hotel,4,(547),"['Free Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Surabaya
RedDoorz @ Wiyung 2,2-star hotel,4.1,(168),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 204,217",Surabaya
Hotel Paprica,2-star hotel,3.5,(155),"['Free Wi-Fi', 'Air conditioning']",0,Surabaya
Nite & Day Residence Pavilion Permata Surabaya,2-star hotel,4.2,(63),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']",0,Surabaya
RedDoorz near Suroboyo Carnival Park,2-star hotel,3.9,(368),['Free Wi-Fi'],"IDR 110,154",Surabaya
