Name,Class,Rating,Total Rater,Facility,Price,Area
Hilton Bandung,5-star hotel,4.7,"(8,164)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,178,000",Bandung
Aryaduta Hotel Bandung,5-star hotel,4.6,"(7,523)","['Breakfast ($)', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 821,859",Bandung
GH Universal Hotel Bandung,5-star hotel,4.7,"(8,110)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 833,419",Bandung
Aryaduta Hotel Bandung,5-star hotel,4.6,"(7,524)","['Breakfast ($)', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 715,696",Bandung
"InterContinental Bandung Dago Pakar, an IHG Hotel",5-star hotel,4.7,"(9,614)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']",0,Bandung
The Gaia Hotel Bandung,5-star hotel,4.6,"(1,205)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 2,666,269",Bandung
Padma Hotel Bandung,5-star hotel,4.8,"(6,557)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,900,000",Bandung
The Trans Luxury Hotel,5-star hotel,4.8,"(11,463)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,700,000",Bandung
Grand Mercure Bandung Setiabudi,5-star hotel,4.6,"(8,291)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,525,768",Bandung
Hilton Bandung,5-star hotel,4.7,"(8,164)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,985,825",Bandung
The Papandayan Hotel,5-star hotel,4.6,"(7,894)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,268,419",Bandung
Sheraton Bandung Hotel & Towers,5-star hotel,4.6,"(5,260)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 2,584,699",Bandung
Pullman Bandung Grand Central,5-star hotel,4.7,"(2,336)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,697,079",Bandung
"Crowne Plaza Bandung, an IHG Hotel",5-star hotel,4.6,"(8,801)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,421,170",Bandung
