Nama,Class,Rating,Total Rater,Facility,Price
Topaz Residence,3-star hotel,4.3,(788),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 214,258"
Swiss-Belinn Wahid Hasyim,3-star hotel,4.5,(535),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 497,985"
Triniti Hotel Jakarta,3-star hotel,4.2,"(1,178)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 311,672"
ibis Jakarta Senen,3-star hotel,4.3,"(2,673)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 334,555"
Hotel Rivoli Jakarta,3-star hotel,4.2,"(2,394)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar', 'Restaurant']","IDR 269,352"
favehotel Melawai,3-star hotel,4.2,"(2,481)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 315,801"
Oak Tree Hotel Jakarta,3-star hotel,4,"(1,053)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 263,337"
ibis Styles Jakarta Simatupang,3-star hotel,4.6,"(1,382)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 593,107"
Zuri Express Mangga Dua,3-star hotel,4.6,"(3,562)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 251,407"
Sentral Cawang Hotel Jakarta,3-star hotel,4.4,"(5,086)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 292,709"
Dequr,3-star hotel,3.9,(460),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 123,489"
favehotel Pasar Baru,3-star hotel,4.3,"(1,901)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 292,810"
Maple Hotel Grogol,3-star hotel,4.2,"(1,690)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 229,903"
Tamarin Hotel Jakarta,3-star hotel,4.3,"(2,773)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 314,579"
Park5 Simatupang,3-star hotel,4.5,"(3,326)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 470,488"
ibis Styles Jakarta Sunter,3-star hotel,4.4,"(3,378)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 420,933"
Hotel NEO+ Kebayoran,3-star hotel,4.4,"(2,521)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 348,212"
Hotel Santika Taman Mini Indonesia Indah,3-star hotel,4.3,"(3,758)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 608,004"
Red Planet Jakarta Pasar Baru,3-star hotel,4.3,"(3,037)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Accessible', 'Child-friendly', 'Smoke-free property']","IDR 248,752"
POP! Hotel Kelapa Gading Jakarta,3-star hotel,4.2,"(1,880)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 324,719"
Titanium Express HomTel,3-star hotel,4.2,(685),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Accessible', 'Business centre']","IDR 253,816"
Kaisar Hotel Jakarta,3-star hotel,4.1,"(3,670)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 328,690"
MAXWELL Hotel Jakarta,3-star hotel,4.2,"(1,223)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 302,479"
favehotel PGC Cililitan,3-star hotel,4.3,"(10,550)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 294,025"
Kaisar Hotel Jakarta,3-star hotel,4.1,"(3,670)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']","IDR 328,690"
MAXWELL Hotel Jakarta,3-star hotel,4.2,"(1,223)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 302,479"
favehotel PGC Cililitan,3-star hotel,4.3,"(10,550)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 294,025"
Ozone Hotel,3-star hotel,4.2,"(1,508)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 618,807"
Blue Sky Hotel Petamburan,3-star hotel,4.2,"(1,869)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 409,371"
Verse Luxe Hotel Wahid Hasyim,3-star hotel,4.2,"(2,101)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 371,004"
Arosa Hotel Jakarta.,3-star hotel,4.5,"(1,974)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 452,295"
favehotel LTC Glodok,3-star hotel,4.2,"(2,252)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 247,000"
Luminor,3-star hotel,4.4,"(3,899)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 450,103"
YELLO Hotel Harmoni Jakarta,3-star hotel,4.5,"(5,491)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 437,403"
Juno Tanah Abang Jakarta,3-star hotel,4.4,"(2,544)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 392,414"
Amaris Hotel La Codefin Kemang,3-star hotel,4.2,"(1,949)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 289,788"
favehotel Puri Indah,3-star hotel,4.4,"(3,660)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 360,019"
Swiss-Belinn Airport Jakarta,3-star hotel,4.3,"(3,024)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 460,275"
Grand Picasso Hotel,3-star hotel,4.4,(936),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 351,057"
City Icon Residence,3-star hotel,4,(660),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 128,096"
U Stay Hotel Mangga Besar,3-star hotel,4,"(1,933)","['Breakfast ($)', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 218,402"
GrandG7 Hotel,3-star hotel,4.4,"(1,372)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 366,524"
OYO Townhouse 2 Hotel Gunung Sahari,3-star hotel,4.2,(755),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 188,280"
1O1 URBAN Jakarta Kelapa Gading (The BnB),3-star hotel,4.3,"(3,264)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 300,016"
Ana Hotel,3-star hotel,4.3,"(1,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 408,062"
Maven Fatmawati Hotel jakarta,3-star hotel,4,(836),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 196,301"
"La Boheme, Rooms and Coffee",3-star hotel,4.5,(864),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 425,678"
Swiss-Belinn Kemayoran,3-star hotel,4.4,"(4,650)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 476,000"
F Hotel,3-star hotel,4.4,(542),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 354,200"
Oria Hotel,3-star hotel,4.3,"(2,024)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 447,432"
Hotel Monopoli,3-star hotel,4.3,"(1,476)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 504,298"
POP! Hotel Pasar Baru Jakarta,3-star hotel,4.4,"(2,171)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 303,749"
Jambuluwuk Thamrin Hotel,3-star hotel,4.5,(567),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 551,698"
"Holiday Inn Express Jakarta Matraman, an IHG Hotel",3-star hotel,4.6,"(1,576)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Accessible', 'Child-friendly']","IDR 501,542"
Park Hotel Jakarta,3-star hotel,4.3,"(3,797)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 351,720"
Horison Falatehan Jakarta,3-star hotel,4.1,"(1,807)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 270,325"
Liberty Hotel Thamrin Jakarta,3-star hotel,4.4,(851),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 408,795"
Cabin Hotel,3-star hotel,4.3,"(1,993)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 364,419"
Orchardz Hotel,3-star hotel,4.4,"(4,240)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 399,804"
LUMINOR HOTEL KOTA,3-star hotel,4.5,"(1,775)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 525,000"
"Sparks Life, ARTOTEL Curated - Jakarta",3-star hotel,4.2,"(1,291)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant']","IDR 222,232"
"Holiday Inn Express Jakarta Wahid Hasyim, an IHG Hotel",3-star hotel,4.4,"(2,571)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 542,557"
Hotel 88 Mangga Besar 62,3-star hotel,4.2,"(1,779)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 289,188"
Lynt,3-star hotel,4.2,(888),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 229,165"
favehotel Zainul Arifin,3-star hotel,4.3,"(1,718)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 321,574"
Hotel Alia Cikini,3-star hotel,4.4,(104),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Room service']","IDR 450,000"
Liberta Hotel Kemang,3-star hotel,4.1,"(2,449)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 305,268"
Rasuna Icon Hotel,3-star hotel,4.3,"(1,330)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 324,005"
Verse Lite Hotel Gajah Mada,3-star hotel,4.1,"(1,187)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 223,060"
"Treehouse Suites at Kuningan, Jakarta",3-star hotel,4.6,(224),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in rooms', 'Full-service laundry']","IDR 652,264"
"Holiday Inn Express Jakarta Pluit Citygate, an IHG Hotel",3-star hotel,4.3,"(2,107)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Room service', 'Accessible', 'Business centre']","IDR 616,999"
Tendean Residences,3-star hotel,4.5,(728),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 289,680"
Sofyan Hotel Soepomo,3-star hotel,4.3,"(2,821)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 238,714"
Hotel Daily Inn,3-star hotel,4.4,"(1,450)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 332,464"
Capital O 126 Business Hotel,3-star hotel,3.9,"(1,179)","['Free Wi-Fi', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 176,790"
Hotel Kuretakeso Kemang,3-star hotel,4.5,"(1,245)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 461,191"
Arcadia Mangga Dua by Horison,3-star hotel,4.1,"(2,718)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 599,118"
Ghurfati Hotel,3-star hotel,4.2,(655),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 110,880"
favehotel Pluit Junction,3-star hotel,4.2,(789),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 381,534"
Dreamtel Hotel Jakarta,3-star hotel,4.1,"(1,718)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 327,655"
Sriwijaya Hotel,3-star hotel,4.2,"(1,789)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 427,061"
SOTIS HOTEL FALATEHAN JAKARTA,3-star hotel,4.3,"(1,106)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 475,802"
Hotel 88 Grogol,3-star hotel,4.2,"(1,620)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 296,145"
RUMANAMI,3-star hotel,4.3,(146),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Full-service laundry', 'Business centre']","IDR 365,750"
Erian Hotel,3-star hotel,4.6,"(1,251)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 432,212"
Best Western Mangga Dua Hotel & Residence,3-star hotel,4.3,"(2,584)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Spa']",0
Teraskita Hotel Jakarta Managed by Dafam,3-star hotel,4.4,"(6,421)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 468,407"
Kyriad Metro Kebayoran,3-star hotel,4.4,"(1,389)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 308,732"
Hotel Paragon,3-star hotel,4,"(1,012)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 266,092"
J hotel @Bandara Soekarno Hatta,3-star hotel,4.2,"(1,947)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 296,513"
Best Western Senayan,3-star hotel,4.5,"(2,100)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 505,152"
Mega Anggrek Hotel,3-star hotel,4.1,"(3,670)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant']","IDR 289,064"
Coins Hotel Indonesia,3-star hotel,4.3,"(1,047)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 275,177"
Hotel Bintang Wisata Mandiri,3-star hotel,4,(683),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 201,735"
Hotel Diradja,3-star hotel,4.2,"(2,433)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 335,638"
Whiz Prime Hotel Kelapa Gading,3-star hotel,4.3,"(3,235)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 390,083"
Shalva Hotel Jakarta,3-star hotel,4.4,"(1,241)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 425,251"
favehotel Tanah Abang - Cideng,3-star hotel,4.3,"(2,311)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 274,414"
Ayaka Suites,3-star hotel,4.4,"(2,330)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 411,153"
Blessing Residence,3-star hotel,4.1,(296),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Full-service laundry', 'Child-friendly']","IDR 324,001"
Feodora Hotel grogol,3-star hotel,3.8,(611),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 182,269"
Hotel NEO Mangga Dua Square,3-star hotel,4.1,"(3,292)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 272,232"
Orchardz Hotel Bandara,3-star hotel,4.4,"(3,899)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 466,765"
Hotel Santika Kelapa Gading,3-star hotel,4.4,"(3,811)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 471,980"
Hotel Horison Ciledug,3-star hotel,4.6,"(3,656)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 436,941"
MaxOneHotels.com @ Pemuda,3-star hotel,4.2,"(2,668)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 339,319"
Somerset Grand Citra Jakarta,3-star hotel,4.5,"(2,822)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant']","IDR 1,248,317"
Blue Sky Pandurata Boutique Hotel,3-star hotel,4.3,"(1,327)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 574,041"
Sofyan Hotel Cut Meutia Cikini Menteng Jakarta,3-star hotel,4.4,"(3,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 284,905"
Hotel Grand Menteng,3-star hotel,4,"(1,148)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 325,492"
RedDoorz Premium near Ragunan Zoo 2,3-star hotel,4.2,(743),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 228,000"
PAX Hotel Jakarta,3-star hotel,4.2,(414),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 261,504"
RedDoorz Plus @ Kapuk Business Park,3-star hotel,3.6,(966),"['Free Wi-Fi', 'Room service']","IDR 141,705"
678 Hotel Cawang,3-star hotel,4.1,"(1,857)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0
Sans Hotel Fiducia Kaji,3-star hotel,3.9,(432),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 142,850"
Hotel Hollywood,3-star hotel,3.8,"(1,007)","['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0
Puri Mega Hotel,3-star hotel,4,"(1,244)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 257,141"
