Nama,Class,Rating,Total Rater,Facility,Price
favehotel Melawai,3-star hotel,4.2,"(2,482)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 315,801"
Sans Hotel Fiducia Kaji,3-star hotel,3.9,(432),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 172,125"
B Shaw Hotel,3-star hotel,4,(414),"['Free Wi-Fi', 'Air conditioning']","IDR 169,290"
D HOTEL,3-star hotel,4.2,"(2,248)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 242,550"
All Seasons Jakarta Thamrin,3-star hotel,4.4,"(4,111)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar', 'Restaurant']","IDR 626,944"
1O1 URBAN Jakarta Thamrin,3-star hotel,4.3,"(4,260)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 502,667"
Asyana Kemayoran Jakarta,3-star hotel,4.3,"(2,672)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 246,409"
Swiss-Belinn Simatupang,3-star hotel,4.4,"(3,639)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 526,840"
ARTOTEL Thamrin - Jakarta,3-star hotel,4.4,"(3,832)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 541,562"
ibis Jakarta Arcadia,3-star hotel,4.2,"(1,613)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 400,048"
Classic Hotel,3-star hotel,4.3,"(4,978)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Spa', 'Bar']","IDR 298,880"
OYO Townhouse 1 Hotel Salemba,3-star hotel,4,(879),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 176,065"
Heef Hotel,3-star hotel,4.3,"(1,414)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 316,306"
The Gloria Suites Jakarta,3-star hotel,3.4,(171),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 238,743"
