Nama,Class,Rating,Total Rater,Facility,Price
LeGreen Suite Kuningan,2-star hotel,4.1,(629),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 272,317"
Cengkareng Transit Hotel,2-star hotel,4,"(1,096)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 312,306"
Shakti,2-star hotel,4.3,"(1,182)","['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Business centre', 'Child-friendly']","IDR 255,000"
Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 406,611"
Shakti,2-star hotel,4.3,"(1,182)","['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Business centre', 'Child-friendly']","IDR 255,000"
Hotel Maxim,2-star hotel,3.7,(580),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 135,500"
Grandboutique-Inn,2-star hotel,4,(89),"['Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 299,213"
Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 406,611"
Jambrut Inn Hotel,2-star hotel,4.1,(202),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 169,263"
BI Executive Hotel,2-star hotel,4.5,"(1,472)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 402,900"
d'primahotel WTC Mangga Dua,2-star hotel,4.3,(674),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 216,173"
U Stay Hotel Asem Baris Jakarta,2-star hotel,4.4,(633),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 364,650"
V Hotel Tebet,2-star hotel,4.3,"(1,874)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 339,151"
OYO 148 Cempaka Place Homestay,2-star hotel,4,(651),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 132,253"
Sun Rise House,2-star hotel,4.3,(295),"['Free Wi-Fi', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 187,246"
Urbanview Hotel Bes Mangga Besar,2-star hotel,3.9,(278),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 178,080"
LeGreen Suite Supomo,2-star hotel,4.3,(322),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 211,939"
RedDoorz near Hayam Wuruk,2-star hotel,3.2,(745),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 94,941"
Rota Hotel,2-star hotel,3.8,(311),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 306,156"
The Nyaman Jakarta,2-star hotel,4.5,(372),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']",0
RedDoorz Plus @ Cideng Barat,2-star hotel,4.3,(662),['Free Wi-Fi'],"IDR 163,875"
Cikini Hotel,2-star hotel,4.3,"(1,084)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 257,322"
Hotel Dragon Inn,2-star hotel,4.1,(861),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 357,000"
RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,137"
C'One Hotel Pulomas,2-star hotel,4.2,(502),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 238,908"
OYO 1421 Kasmaran Guest House Syariah,2-star hotel,4.2,(230),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Airport shuttle']","IDR 187,738"
OYO 137 Permata Tawakal,2-star hotel,4,(332),"['Free Wi-Fi', 'Child-friendly']","IDR 103,592"
Amaris Hotel Bandara Soekarno Hatta,2-star hotel,3.9,"(2,478)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 382,750"
RedDoorz near ITC Cempaka Mas,2-star hotel,3.2,(521),['Free Wi-Fi'],"IDR 122,611"
RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,137"
OYO 146 Menteng Residence,2-star hotel,3.4,(184),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 96,622"
OYO 137 Permata Tawakal,2-star hotel,4,(332),"['Free Wi-Fi', 'Child-friendly']","IDR 103,592"
OYO 123 Puri Lotus,2-star hotel,3.8,(317),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 179,486"
Golden Mansion,2-star hotel,4.1,(215),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 390,469"
LeGreen Suite Tebet,2-star hotel,4.1,(480),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 330,137"
Collection O 91071 Hotel Desa Wisata Tmii,2-star hotel,4.2,(927),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 565,229"
RedDoorz @ Jalan Gatot Subroto Jakarta,2-star hotel,4.4,(162),['Free Wi-Fi'],"IDR 223,447"
OYO 3755 Sweet Home,2-star hotel,3.4,(58),"['Free Wi-Fi', 'Air conditioning']","IDR 62,712"
OYO 2416 Griya Otista Syariah,2-star hotel,3.8,(160),"['Wi-Fi', 'Air conditioning']","IDR 91,444"
Hotel Mega Proklamasi,2-star hotel,4,"(1,050)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
OYO 2223 J&b Room Utan Kayu,2-star hotel,3.6,(213),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 111,588"
RedDoorz near Gajah Mada Plaza 2,2-star hotel,3.7,(185),['Free Wi-Fi'],"IDR 89,818"
RedDoorz near Halim Perdanakusuma 3,2-star hotel,4.1,(159),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 206,625"
OYO 127 W Residence,2-star hotel,4,(572),"['Free Wi-Fi', 'Air conditioning']","IDR 120,668"
Menteng 1 Hotel Jakarta,2-star hotel,3.7,(502),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
Puspita Guesthouse,2-star hotel,3.3,(74),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 202,465"
RedDoorz near Kebon Jeruk Jakarta,2-star hotel,4.4,(240),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Full-service laundry']","IDR 152,568"
RedDoorz Plus near Tebet,2-star hotel,4.5,(258),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 470,080"
OYO 181 Wisma Bintang,2-star hotel,3.9,(484),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 89,425"
OYO 2308 Seven Season Residence,2-star hotel,3.8,(242),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 113,750"
Hotel Transit Pondok Tirta Sentosa,2-star hotel,3.8,(196),"['Free parking', 'Air conditioning', 'Room service']",0
OYO 1868 J&b Room Pramuka,2-star hotel,3.6,(155),"['Wi-Fi', 'Free parking', 'Air conditioning']","IDR 104,933"
TATOR Hotel,2-star hotel,3.9,(192),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service']",0
Studio One Hotel,2-star hotel,4.1,(603),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Full-service laundry', 'Child-friendly']",0
OYO 1487 Residence Khoe,2-star hotel,4.3,(242),"['Free Wi-Fi', 'Air conditioning']","IDR 144,575"
RedDoorz @ Kebon Kacang,2-star hotel,3.9,(124),"['Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 153,188"
OYO 3747 Comfort Residence,2-star hotel,4.1,(71),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 147,145"
RedDoorz Tanah Abang,2-star hotel,3.9,(25),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 107,259"
RedDoorz Plus @ Karet Setiabudi,2-star hotel,4.1,(293),"['Free Wi-Fi', 'Child-friendly']",0
OYO 169 Kuningan 21,2-star hotel,4,(227),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0
OYO 150 Harmoni Residence,2-star hotel,3.5,(66),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0
Airy Eco Setiabudi Tengah 3 Jakarta,2-star hotel,3.8,(178),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Breakfast', 'Smoke-free property']",0
OYO 1990 Kost Kuningan Executive Boading House Setiabudi,2-star hotel,4.1,(117),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0
kost KWITANG 149,2-star hotel,3.9,(146),['Free Wi-Fi'],0
Airy Eco,2-star hotel,4.1,(203),"['Free Wi-Fi', 'Air conditioning', 'Parking', 'Smoke-free property']",0
Harlys Residence,2-star hotel,4.1,"(1,460)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']","IDR 184,569"
OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']","IDR 104,745"
Daun Residence,2-star hotel,4.5,(205),"['Free Wi-Fi', 'Parking', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 337,575"
Smart Hotel Thamrin Jakarta,2-star hotel,3.3,"(1,045)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 208,496"
Gayatri Residence,2-star hotel,4.3,(44),"['Free Wi-Fi', 'Pool']","IDR 124,284"
AMS Penthouse Hotel,2-star hotel,4,(485),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 107,638"
The Packer Lodge,2-star hotel,4.5,(455),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry']","IDR 196,029"
Bold Hotel,2-star hotel,4.5,(828),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 171,493"
Bobobox Pancoran,2-star hotel,4.6,(712),"['Free Wi-Fi', 'Air conditioning']","IDR 207,028"
Hotel Istana Bungur,2-star hotel,3.7,(431),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 127,322"
Bangka Suite,2-star hotel,4.6,(260),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Child-friendly']","IDR 238,191"
Urbanview Hotel Minongga Pondok Labu,2-star hotel,4.1,(462),['Free Wi-Fi'],"IDR 167,438"
Nite & Day Hotel Mangga Besar,2-star hotel,4.1,(625),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Accessible', 'Child-friendly', 'Smoke-free property']","IDR 270,000"
MK HOUSE TENDEAN,2-star hotel,4.4,(548),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,133"
Urbanview Hotel Mroom PH,2-star hotel,3.9,(622),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 166,725"
MUTIARA SUITES | Jakarta,2-star hotel,4.3,(366),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 277,633"
Amaris Hotel Panglima Polim,2-star hotel,4.2,(901),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 247,455"
Capsule Hotel New Batavia,2-star hotel,4.5,(490),"['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Bar', 'Restaurant', 'Kitchen in some rooms', 'Full-service laundry']","IDR 208,248"
Augusta Hotel,2-star hotel,3.8,(521),"['Free breakfast', 'Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 214,813"
City Style Residence,2-star hotel,4.1,(211),['Free Wi-Fi'],"IDR 113,466"
Oekude Residence,2-star hotel,4.2,(336),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']","IDR 95,771"
Lagura Residence Guest House,2-star hotel,4.1,(447),['Free Wi-Fi'],"IDR 161,924"
ZEN Rooms De 80's Ekonomi,2-star hotel,4,(207),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 102,586"
Bangka Bed and Breakfast,2-star hotel,4.3,(48),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 174,031"
OYO 115 Portal Residence,2-star hotel,3.9,(55),['Free Wi-Fi'],"IDR 140,885"
OYO 141 Fatmawati Cozy Residence,2-star hotel,3.9,(194),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 178,852"
RedDoorz near Central Park Mall,2-star hotel,4.4,(191),['Free Wi-Fi'],"IDR 103,970"
The Plaza Hotel Glodok,2-star hotel,4.1,(532),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 188,979"
UniK Guest House,2-star hotel,4.3,(24),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 160,000"
N3 Hotel Zainul Arifin,2-star hotel,3.9,(380),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 152,456"
Residence 100,2-star hotel,3.8,(345),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 170,375"
Icorner Residence,2-star hotel,4.2,(344),"['Free Wi-Fi', 'Air conditioning']","IDR 191,474"
OYO 1805 Fatmawati Mansion Syariah,2-star hotel,4.1,(113),"['Free Wi-Fi', 'Full-service laundry']","IDR 109,724"
Central Front One Inn Jakarta Airport,2-star hotel,4.3,(348),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 252,756"
Hotel Lautze Indah,2-star hotel,3.7,(658),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 215,024"
Villa Srimanganti,2-star hotel,4.3,(959),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Breakfast', 'Child-friendly']","IDR 155,530"
Focus Hotel,2-star hotel,4.1,(433),"['Free Wi-Fi', 'Air conditioning']","IDR 305,415"
U Stay Hotel Gunung Sahari Jakarta,2-star hotel,3.7,(616),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 137,210"
Wonderloft Hostel,2-star hotel,4.5,(774),"['Breakfast ($)', 'Free Wi-Fi', 'Air conditioning', 'Parking', 'Airport shuttle', 'Full-service laundry']","IDR 155,875"
Magnolia Hotel,2-star hotel,3.9,(295),"['Free Wi-Fi', 'Air conditioning']","IDR 327,509"
Uptown residence Pondok Pinang Jakarta Selatan,2-star hotel,3.7,(158),"['Free Wi-Fi', 'Free parking']","IDR 99,211"
Hotel 678 Kemang,2-star hotel,4.1,(298),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 350,001"
OYO 1805 Fatmawati Mansion Syariah,2-star hotel,4.1,(113),"['Free Wi-Fi', 'Full-service laundry']","IDR 109,724"
OYO 2348 Ende Elok,2-star hotel,3.8,(332),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 201,287"
Cilandak Mansion Hotel,2-star hotel,4.6,(18),"['Free Wi-Fi', 'Free parking', 'Pool']","IDR 217,539"
RedDoorz near Mangga Dua Square,2-star hotel,3.4,(64),"['Free Wi-Fi', 'Free parking']","IDR 94,171"
Hotel Cempaka Sari,2-star hotel,3.9,(595),"['Free breakfast', 'Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 149,999"
Twins Manggadua,2-star hotel,4.1,(323),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 257,807"
LeGreen Suite Poso,2-star hotel,4,(359),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 272,317"
Puri Saras Bintaro Syariah,2-star hotel,4,(350),"['Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 121,125"
de 80's genteng ijo,2-star hotel,4.3,(277),"['Free Wi-Fi', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 168,284"
VK Pods Jakarta @PIK,2-star hotel,4.4,(111),"['Free Wi-Fi', 'Air conditioning']","IDR 157,420"
