Nama,Class,Rating,Total Rater,Facility,Price
MK HOUSE TENDEAN,2-star hotel,4.4,(548),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,133"
RedDoorz @ Cempaka Putih,2-star hotel,4.4,(169),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 154,526"
Green Bamboo Residence,2-star hotel,4.2,"(1,630)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 159,722"
RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']","IDR 184,569"
Zest Airport Jakarta by Swiss-Belhotel International,2-star hotel,4.2,"(4,237)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 369,566"
ibis budget Jakarta Airport,2-star hotel,4.2,"(9,528)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 363,825"
OYO 266 Margonda Residence 5,2-star hotel,4.1,(191),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 128,288"
An Hotel Jakarta,2-star hotel,3.8,(711),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 260,539"
Amaris Hotel Thamrin City,2-star hotel,4.2,"(4,189)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 295,849"
Clay Hotel,2-star hotel,4,"(1,547)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 237,600"
POP! Hotel Tebet,2-star hotel,4.1,"(2,835)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 303,546"
Amaris Hotel Slipi Jakarta,2-star hotel,4.5,(406),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 367,000"
OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']","IDR 104,745"
Daun Residence,2-star hotel,4.5,(205),"['Free Wi-Fi', 'Parking', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 337,575"
favehotel Kelapa Gading,2-star hotel,4,"(2,689)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 234,626"
LeGreen Suite Tondano,2-star hotel,4,(677),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 276,420"
ibis budget Jakarta Cikini,2-star hotel,4.2,"(3,552)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 327,915"
Amaris Hotel Tendean Jakarta,2-star hotel,4.1,"(1,760)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 299,710"
POP! Hotel Airport Jakarta,2-star hotel,3.8,"(3,252)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 284,582"
Whiz Hotel Falatehan Jakarta,2-star hotel,4.1,(676),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 437,774"
Dafam Express Jaksa Jakarta,2-star hotel,4.4,(413),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 282,838"
Hotel 55,2-star hotel,3.8,(780),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 142,122"
POP! Hotel Kemang - Jakarta,2-star hotel,4.2,"(1,963)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 264,957"
Amaris Hotel Seasons City,2-star hotel,4.2,"(1,954)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 236,497"
Cordela Hotel Senen,2-star hotel,4.5,"(2,413)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 387,611"
OYO 1941 Aaa Residence Syariah,2-star hotel,4.3,(244),"['Free Wi-Fi', 'Air conditioning']","IDR 105,419"
Alia Matraman Hotel,2-star hotel,4.2,(821),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 324,294"
Hotel 88 Mangga Besar 120.,2-star hotel,4.2,(890),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 204,086"
ibis budget Jakarta Daan Mogot,2-star hotel,4.2,"(2,109)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']",0
Amaris Hotel Juanda Jakarta,2-star hotel,4.2,"(2,120)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 361,075"
Casa Living,2-star hotel,4.2,(398),"['Free Wi-Fi', 'Air conditioning']","IDR 246,456"
Amaris Grogol,2-star hotel,4.3,"(1,415)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 297,266"
LeGreen Suite Senayan,2-star hotel,3.9,(507),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 257,620"
Amaris Hotel Senen,2-star hotel,4.1,"(1,418)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 294,532"
d'primahotel ITC Mangga Dua,2-star hotel,4.3,"(1,307)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 192,294"
ibis budget Jakarta Menteng,2-star hotel,4,"(1,581)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 306,185"
Hotel Senen Indah,2-star hotel,4.2,"(1,272)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 173,790"
Hotel Alma,2-star hotel,4,(787),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 142,139"
SUMI Hotel,2-star hotel,4.1,(595),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 194,645"
Amaris Hotel Tebet,2-star hotel,4.1,"(1,952)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 364,320"
OYO Flagship 210 Amethyst Kemayoran,2-star hotel,4.3,"(1,595)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 161,341"
Hotel 88 Mangga Besar VIII,2-star hotel,4.1,"(1,556)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Smoke-free property']","IDR 234,977"
Amaris Hotel Pasar Baru,2-star hotel,4.3,"(1,508)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 343,995"
Cipta Hotel Wahid Hasyim,2-star hotel,4.1,(695),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 285,511"
Sotis Residence Pejompongan,2-star hotel,4.3,"(1,305)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 387,600"
Hotel Gren Alia Cikini,2-star hotel,4.3,"(2,794)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 440,151"
