No,Nama,Class,Rating,Rater,Facility,Price
28,Pullman Jakarta Indonesia Thamrin CBD,5-star hotel,4.7,"(12,773)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,838,403"
29,Menara Peninsula Hotel,4-star hotel,4.4,"(7,494)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 403,281"
30,Grand Sahid Jaya,5-star hotel,4.4,"(10,239)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 843,331"
31,HARRIS Hotel Tebet - Jakarta,4-star hotel,4.4,"(6,015)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 523,459"
32,The Acacia Hotel & Resort,4-star hotel,4.2,"(3,792)","['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 475,407"
33,Harris Suites fX Sudirman - Jakarta,4-star hotel,4.5,"(4,583)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 813,278"
34,Merlynn Park,5-star hotel,4.4,"(9,072)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 634,856"
35,Tamarin Hotel Jakarta,3-star hotel,4.3,"(2,773)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']",GREAT DEAL
36,Topaz Residence,3-star hotel,4.3,(788),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 225,535"
37,Best Western Plus Kemayoran Hotel,4-star hotel,4.3,"(4,523)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 379,910"
