No,Nama,Class,Rating,Rater,Facility,Price
121,The Westin Jakarta,5-star hotel,4.7,"(12,886)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 4,072,114"
122,Dafam Express Jaksa Jakarta,2-star hotel,4.4,(413),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 283,153"
123,POP! Hotel Airport Jakarta,2-star hotel,3.8,"(3,252)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 285,816"
124,favehotel Zainul Arifin,3-star hotel,4.3,"(1,718)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 321,632"
125,Alia Matraman Hotel,2-star hotel,4.2,(821),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 300,000"
126,Rasuna Icon Hotel,3-star hotel,4.3,"(1,330)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Kitchen in rooms']","IDR 324,063"
127,LeGreen Suite Senayan,2-star hotel,3.9,(507),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 257,620"
128,Liberta Hotel Kemang,3-star hotel,4.1,"(2,449)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 305,322"
129,Amaris Grogol,2-star hotel,4.3,"(1,415)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 297,320"
130,Erian Hotel,3-star hotel,4.6,"(1,251)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 432,212"
131,Cordela Hotel Senen,2-star hotel,4.5,"(2,413)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 387,681"
132,Casa Living,2-star hotel,4.2,(398),"['Free Wi-Fi', 'Air conditioning']","IDR 246,456"
133,Amaris Hotel Juanda Jakarta,2-star hotel,4.2,"(2,120)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 361,140"
134,Ghurfati Hotel,3-star hotel,4.2,(655),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 110,880"
135,Tendean Residences,3-star hotel,4.5,(728),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 289,680"
136,Ascott Jakarta,4-star hotel,4.6,"(4,830)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Spa']","IDR 2,269,962"
137,Aloft Jakarta Wahid Hasyim,4-star hotel,4.5,"(2,471)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Pools', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 1,127,480"
138,Dreamtel Hotel Jakarta,3-star hotel,4.1,"(1,718)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 331,813"
139,Hotel Kuretakeso Kemang,3-star hotel,4.5,"(1,245)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 461,191"
140,Sofyan Hotel Soepomo,3-star hotel,4.3,"(2,821)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 238,714"
141,Hotel Alma,2-star hotel,4.0,(787),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 142,139"
142,Hotel Senen Indah,2-star hotel,4.2,"(1,272)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 176,040"
143,Amaris Hotel Senen,2-star hotel,4.1,"(1,418)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 294,585"
144,Oakwood Premier Cozmo Jakarta,5-star hotel,4.5,"(3,288)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,058,546"
145,Teraskita Hotel Jakarta Managed by Dafam,3-star hotel,4.4,"(6,421)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 468,843"
146,Hotel 88 Mangga Besar VIII,2-star hotel,4.1,"(1,556)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Smoke-free property']","IDR 235,019"
147,Ascott Kuningan Jakarta,5-star hotel,4.7,"(1,986)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 2,153,580"
148,Shalva Hotel Jakarta,3-star hotel,4.4,"(1,241)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 425,251"
149,Aryaduta Suites Semanggi,5-star hotel,4.5,"(6,807)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 836,028"
150,Amaris Hotel Tebet,2-star hotel,4.1,"(1,952)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 393,300"
151,favehotel Tanah Abang - Cideng,3-star hotel,4.3,"(2,311)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 274,414"
152,Hotel Diradja,3-star hotel,4.2,"(2,433)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 335,638"
153,LeGreen Suite Kuningan,2-star hotel,4.1,(629),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 272,317"
154,Ayaka Suites,3-star hotel,4.4,"(2,330)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 411,153"
155,"The Mayflower, Jakarta - Marriott Executive Apartments",4-star hotel,4.7,(506),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,117,500"
156,Fraser Place Setiabudi,5-star hotel,4.6,"(1,766)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,515,540"
157,MaxOneHotels.com @ Kramat,3-star hotel,4.3,"(1,980)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 243,326"
158,Hotel Horison Ciledug,3-star hotel,4.6,"(3,656)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 436,941"
159,P Hotel,3-star hotel,4.2,(496),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 257,242"
160,Amaris Hotel Pasar Baru,2-star hotel,4.3,"(1,508)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 343,956"
161,Alila SCBD Jakarta,5-star hotel,4.6,"(1,113)","['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 4,183,601"
162,"Mandarin Oriental, Jakarta",5-star hotel,4.7,"(6,740)","['Breakfast', 'Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,728,487"
163,MaxOneHotels.com @ Platinum Hayam Wuruk,3-star hotel,4.4,"(1,216)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 342,146"
164,Ascott Sudirman Jakarta,4-star hotel,4.6,"(1,671)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 2,108,662"
165,Blue Sky Pandurata Boutique Hotel,3-star hotel,4.3,"(1,327)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 576,709"
166,Oakwood Suites La Maison Jakarta,5-star hotel,4.6,(145),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Kitchen in rooms']","IDR 1,824,187"
167,Hotel Maxim,2-star hotel,3.7,(580),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']",DEAL
168,Hotel Balairung Jakarta,3-star hotel,4.3,"(2,582)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 342,000"
169,Shakti,2-star hotel,4.3,"(1,182)","['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Business centre', 'Child-friendly']","IDR 255,000"
170,Puri Jaya Hotel,3-star hotel,4.0,"(1,165)","['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
171,MaxOneHotels.com @ Pemuda,3-star hotel,4.2,"(2,668)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 373,796"
172,Losari Roxy Hotel,3-star hotel,4.0,(803),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 169,065"
173,Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 406,566"
174,Zodiak MT Haryono Hotel,3-star hotel,3.9,"(1,529)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 247,860"
175,Hotel Grand Menteng,3-star hotel,4.0,"(1,148)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 325,611"
176,Sans Hotel Fiducia Kaji,3-star hotel,3.9,(432),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",DEAL
177,d'primahotel Melawai,3-star hotel,4.1,(591),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 241,230"
178,"The Hermitage, a Tribute Portfolio Hotel, Jakarta",5-star hotel,4.6,"(3,785)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,182,080"
179,V Hotel Tebet,2-star hotel,4.3,"(1,874)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 339,151"
180,Fraser Residence Menteng Jakarta,5-star hotel,4.6,"(2,240)","['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Pet-friendly', 'Fitness centre']","IDR 1,205,253"
181,Sun Rise House,2-star hotel,4.3,(295),"['Free Wi-Fi', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 187,246"
182,PAX Hotel Jakarta,3-star hotel,4.2,(414),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 261,504"
183,Sun Rise House,2-star hotel,4.3,(295),"['Free Wi-Fi', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 187,246"
184,Cikini Hotel,2-star hotel,4.3,"(1,084)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 257,322"
185,Hotel Dragon Inn,2-star hotel,4.1,(861),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 357,000"
186,Hotel Hollywood,3-star hotel,3.8,"(1,007)","['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0
187,LeGreen Suite Tebet,2-star hotel,4.1,(480),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 324,986"
188,OYO 181 Wisma Bintang,2-star hotel,3.9,(484),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
189,OYO 2223 J&b Room Utan Kayu,2-star hotel,3.6,(213),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",GREAT DEAL
190,OYO 1868 J&b Room Pramuka,2-star hotel,3.6,(155),"['Wi-Fi', 'Free parking', 'Air conditioning']",DEAL
191,Studio One Hotel,2-star hotel,4.1,(603),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Full-service laundry', 'Child-friendly']",0
192,B Shaw Hotel,3-star hotel,4.0,(414),"['Free Wi-Fi', 'Air conditioning']","IDR 169,290"
193,RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']",GREAT DEAL
194,OYO 101 Apple Platinum,3-star hotel,4.4,(781),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 193,723"
195,The Gloria Suites Jakarta,3-star hotel,3.4,(171),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",GREAT DEAL
196,Dequr,3-star hotel,3.9,(460),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
197,Hotel Bulevar Tanjung Duren Jakarta,3-star hotel,3.6,"(1,134)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 181,029"
198,OYO 266 Margonda Residence 5,2-star hotel,4.1,(191),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
199,Batavia Apartments,4-star hotel,4.5,"(1,056)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant']","IDR 708,873"
200,Cool Living,3-star hotel,4.8,(253),"['Free Wi-Fi', 'Free parking', 'Restaurant', 'Full-service laundry']","IDR 365,000"
201,OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']",GREAT DEAL
202,Hotel Caravan,3-star hotel,3.8,(562),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
203,City Icon Residence,3-star hotel,4.0,(660),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 128,096"
204,OYO Townhouse 2 Hotel Gunung Sahari,3-star hotel,4.2,(755),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']",GREAT DEAL
205,Nusantara Indah Hotel,3-star hotel,4.0,(443),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 204,480"
206,Hotel Tugu Asri,3-star hotel,3.9,(247),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 115,365"
207,OYO 4005 Bunga Dahlia Guest House,3-star hotel,3.9,"(1,116)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 163,320"
208,OYO 3785 Kemayoran Residence,2-star hotel,2.8,(101),"['Wi-Fi', 'Free parking', 'Air conditioning']",GREAT DEAL
209,AMS Penthouse Hotel,2-star hotel,4.0,(485),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']",DEAL
210,Gayatri Residence,2-star hotel,4.3,(44),"['Free Wi-Fi', 'Pool']","IDR 124,284"
211,Smart Hotel Thamrin Jakarta,2-star hotel,3.3,"(1,045)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 208,496"
212,"Urbanest Inn House Slipi - Exclusive Kost and Homestay | Jakarta Barat, Indonesia",3-star hotel,4.6,(440),"['Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning']","IDR 197,936"
213,Capital O 126 Business Hotel,3-star hotel,3.9,"(1,179)","['Free Wi-Fi', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 176,790"
214,Hotel 55,2-star hotel,3.8,(780),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 142,122"
215,OYO 1941 Aaa Residence Syariah,2-star hotel,4.3,(244),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
216,Capital O 203 Prasada Mansion Sudirman,3-star hotel,4.2,"(1,709)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
217,OYO 119 Belvena Hotel,3-star hotel,3.8,(634),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 135,500"
218,Bold Hotel,2-star hotel,4.5,(828),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 179,000"
219,Hotel 88 Mangga Besar 120.,2-star hotel,4.2,(889),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 204,122"
220,Bobobox Kebayoran,3-star hotel,4.6,(643),"['Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Breakfast', 'Kitchen in some rooms', 'Accessible', 'Child-friendly']","IDR 175,733"
221,Hotel Istana Bungur,2-star hotel,3.7,(431),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 127,322"
222,Urbanview Hotel Minongga Pondok Labu,2-star hotel,4.1,(462),['Free Wi-Fi'],GREAT DEAL
223,OYO Flagship 210 Amethyst Kemayoran,2-star hotel,4.3,"(1,595)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",DEAL
224,Oekude Residence,2-star hotel,4.2,(336),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']",GREAT DEAL
225,de green Residence gajahmada,3-star hotel,4.3,(301),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 200,070"
226,Feodora Hotel grogol,3-star hotel,3.8,(611),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
227,OYO 180 Hotel Mirah,3-star hotel,3.9,(503),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 200,172"
228,De 80's Pondok Labu,3-star hotel,4.1,(196),"['Free Wi-Fi', 'Air conditioning']","IDR 169,798"
229,The Legacy Residence Syariah,3-star hotel,4.4,(238),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Restaurant', 'Full-service laundry', 'Smoke-free property']",GREAT DEAL
230,Urbanview Hotel Bes Mangga Besar,2-star hotel,3.9,(278),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
231,MK HOUSE TENDEAN,2-star hotel,4.4,(548),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,154"
232,Hotel Istana Ratu,3-star hotel,3.6,(448),"['Free breakfast', 'Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 225,382"
233,Capsule Hotel New Batavia,2-star hotel,4.5,(490),"['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Bar', 'Restaurant', 'Kitchen in some rooms', 'Full-service laundry']","IDR 208,406"
234,MAVEN Buncit,3-star hotel,3.5,(514),"['Wi-Fi', 'Pool', 'Air conditioning', 'Restaurant']","IDR 163,746"
235,Jambrut Inn Hotel,2-star hotel,4.1,(202),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']",DEAL
236,OYO 141 Fatmawati Cozy Residence,2-star hotel,3.9,(194),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 178,852"
237,City Style Residence,2-star hotel,4.1,(211),['Free Wi-Fi'],DEAL
238,Hotel Alamanda,2-star hotel,4.2,(320),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 139,800"
239,Hotel Royal Juanda Jakarta Pusat,3-star hotel,3.8,(514),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
240,Lagura Residence Guest House,2-star hotel,4.1,(447),['Free Wi-Fi'],"IDR 194,000"
241,Nite & Day Hotel Jakarta Bandengan,3-star hotel,4.1,(720),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 158,638"
242,OYO 115 Portal Residence,2-star hotel,3.9,(55),['Free Wi-Fi'],"IDR 140,885"
243,OYO 176 Virgo Residence,2-star hotel,4.1,(107),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
244,Urbanview Hotel Mroom PH,2-star hotel,3.9,(622),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 239,452"
245,Icorner Residence,2-star hotel,4.2,(344),"['Free Wi-Fi', 'Air conditioning']","IDR 191,474"
246,UniK Guest House,2-star hotel,4.3,(24),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 160,000"
247,Bangka Bed and Breakfast,2-star hotel,4.3,(48),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",DEAL
248,U Stay Hotel Gunung Sahari Jakarta,2-star hotel,3.7,(616),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 137,210"
249,ZEN Rooms De 80's Ekonomi,2-star hotel,4.0,(207),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 102,586"
250,OYO 989 Audah Guesthouse Syariah,3-star hotel,4.1,(639),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Child-friendly']",GREAT DEAL
251,N3 Hotel Zainul Arifin,2-star hotel,3.9,(380),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 152,456"
252,RedDoorz Plus near Plaza Blok M,3-star hotel,4.3,(510),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 158,927"
253,Green Apple Residence RedPartner,2-star hotel,4.1,(164),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
254,RedDoorz near Central Park Mall,2-star hotel,4.4,(191),['Free Wi-Fi'],"IDR 103,970"
255,Residence 100,2-star hotel,3.8,(345),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 170,375"
256,Hotel Cempaka Sari,2-star hotel,3.9,(595),"['Free breakfast', 'Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 149,999"
257,Hotel 678 Kemang,2-star hotel,4.1,(298),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",DEAL
258,OYO 136 Manggis Inn,3-star hotel,4.1,(496),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']",DEAL
259,Villa Srimanganti,2-star hotel,4.3,(959),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Breakfast', 'Child-friendly']",GREAT DEAL
260,Wonderloft Hostel,2-star hotel,4.5,(774),"['Breakfast ($)', 'Free Wi-Fi', 'Air conditioning', 'Parking', 'Airport shuttle', 'Full-service laundry']","IDR 155,903"
261,OYO 1805 Fatmawati Mansion Syariah,2-star hotel,4.1,(113),"['Free Wi-Fi', 'Full-service laundry']",GREAT DEAL
262,OYO 148 Cempaka Place Homestay,2-star hotel,4.0,(651),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 132,253"
263,VK Pods Jakarta @PIK,2-star hotel,4.4,(111),"['Free Wi-Fi', 'Air conditioning']","IDR 157,420"
264,OYO 116 N Hotel,3-star hotel,3.7,(878),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 171,360"
265,de 80's genteng ijo,2-star hotel,4.3,(277),"['Free Wi-Fi', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 168,284"
266,OYO 297 45 Residence,2-star hotel,4.1,(337),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",GREAT DEAL
