,0,1,2,3,4
0,Cosmo Amaroossa Jakarta,4.3,"(3,187)","['Free breakfast', 'Free Wi-Fi']","IDR 396,445"
1,Millennium Hotel Sirih Jakarta,4.5,"(9,538)","['Breakfast', 'Free Wi-Fi']","IDR 726,000"
2,Grand Dafam Ancol Jakarta,4.5,(601),"['Free breakfast', 'Free Wi-Fi']","IDR 579,995"
3,Hilton Garden Inn Jakarta Taman Palem,4.6,(572),"['Breakfast ($)', 'Free Wi-Fi']","IDR 745,835"
4,éL Hotel Royale Jakarta,4.3,"(3,658)","['Free breakfast', 'Free Wi-Fi']","IDR 464,162"
5,Hotel Ciputra Jakarta managed by Swiss-Belhotel International,4.6,"(12,494)","['Breakfast ($)', 'Free Wi-Fi']","IDR 622,702"
6,The Jayakarta SP Jakarta Hotel & Spa,4.2,"(3,685)","['Breakfast', 'Free Wi-Fi']","IDR 294,562"
7,Hotel Santika Premiere Slipi Jakarta,4.5,"(7,742)","['Breakfast', 'Free Wi-Fi']","IDR 649,206"
8,ASTON Priority Simatupang & Conference Center,4.6,"(10,241)","['Free breakfast', 'Free Wi-Fi']","IDR 647,462"
9,Swiss-Belhotel Pondok Indah,4.5,"(6,563)","['Breakfast', 'Free Wi-Fi']","IDR 528,016"
10,"Holiday Inn & Suites Jakarta Gajah Mada, an IHG Hotel",4.7,"(2,537)","['Breakfast ($)', 'Free Wi-Fi']","IDR 790,825"
11,ASTON Kartika Grogol Hotel & Conference,4.7,"(2,790)","['Breakfast', 'Free Wi-Fi']","IDR 551,461"
12,Amos Cozy Hotel & Convention Hall Jakarta,3.9,"(1,856)","['Free breakfast', 'Free Wi-Fi']","IDR 391,961"
13,Mercure Jakarta Kota,4.4,"(3,335)","['Breakfast', 'Free Wi-Fi']","IDR 458,115"
14,Amos Cozy Hotel & Convention Hall Jakarta,3.9,"(1,856)","['Free breakfast', 'Free Wi-Fi']","IDR 391,961"
15,Novotel Jakarta Mangga Dua Square,4.6,"(6,363)","['Breakfast', 'Free Wi-Fi']","IDR 720,036"
16,Mercure Jakarta Gatot Subroto,4.5,"(3,275)","['Breakfast', 'Free Wi-Fi']","IDR 780,747"
17,Hariston Hotel & Suites,4.3,"(3,396)","['Breakfast', 'Free Wi-Fi']","IDR 362,420"
18,Best Western Premier The Hive,4.4,"(7,751)","['Breakfast', 'Free Wi-Fi']","IDR 471,536"
19,ASTON Pluit Hotel & Residence,4.4,"(5,292)","['Breakfast', 'Free Wi-Fi']","IDR 584,636"
20,Royal Kuningan Hotel,4.4,"(5,774)","['Breakfast', 'Free Wi-Fi']","IDR 561,110"
21,HARRIS Suites Puri Mansion,4.3,"(1,163)","['Breakfast', 'Free Wi-Fi']","IDR 522,068"
22,Aston Kemayoran City Hotel,4.6,(326),"['Breakfast ($)', 'Free Wi-Fi']","IDR 626,799"
23,Menara Peninsula Hotel,4.4,"(7,494)","['Breakfast', 'Free Wi-Fi']","IDR 439,448"
24,"Four Points by Sheraton Jakarta, Thamrin",4.4,"(2,799)","['Breakfast ($)', 'Free Wi-Fi']","IDR 1,163,835"
