,0,1,2,3,4
25,Mercure Jakarta Pantai Indah Kapuk,4.6,"(4,145)","['Breakfast', 'Free Wi-Fi']","IDR 1,195,203"
26,Grand Whiz Poins Simatupang Jakarta,4.5,"(3,192)","['Breakfast', 'Free Wi-Fi']","IDR 507,883"
27,Mercure Jakarta Batavia,4.6,"(2,335)","['Breakfast', 'Free Wi-Fi']","IDR 749,581"
28,Akmani Hotel Jakarta,4.2,"(2,883)","['Breakfast', 'Free Wi-Fi']",DEAL
29,The Acacia Hotel & Resort,4.2,"(3,792)","['Free breakfast', 'Free Wi-Fi']","IDR 461,295"
30,Grand Tjokro,4.2,"(2,722)","['Free breakfast', 'Free Wi-Fi']","IDR 370,260"
31,Best Western Plus Kemayoran Hotel,4.3,"(4,522)","['Breakfast', 'Free Wi-Fi']","IDR 380,715"
32,grandkemang Jakarta,4.4,"(5,317)","['Breakfast', 'Free Wi-Fi']","IDR 483,821"
33,HARRIS Hotel Tebet - Jakarta,4.4,"(6,015)","['Breakfast ($)', 'Free Wi-Fi']","IDR 523,459"
34,Ambhara Hotel,4.3,"(5,708)","['Breakfast', 'Free Wi-Fi']",GREAT DEAL
35,Oakwood Apartments PIK Jakarta,4.6,"(1,547)","['Free breakfast', 'Free Wi-Fi']","IDR 805,629"
36,Harris Suites fX Sudirman - Jakarta,4.5,"(4,579)","['Breakfast ($)', 'Free Wi-Fi']","IDR 814,543"
37,ibis Styles Jakarta Gajah Mada,4.4,"(3,189)","['Breakfast', 'Free Wi-Fi']","IDR 475,849"
38,Century Park,4.5,"(10,211)","['Free breakfast', 'Free Wi-Fi']",DEAL
39,Mercure Jakarta Sabang,4.4,"(5,093)","['Breakfast', 'Free Wi-Fi']","IDR 855,799"
40,Hotel Kartika Chandra,4.3,"(6,269)","['Breakfast', 'Free Wi-Fi']","IDR 497,010"
41,AONE Hotel Jakarta,4.3,"(3,683)","['Breakfast', 'Free Wi-Fi']","IDR 551,519"
42,Millennium Hotel Sirih Jakarta,4.5,"(9,539)","['Breakfast', 'Free Wi-Fi']","IDR 472,223"
43,Morrissey Hotel,4.6,"(4,481)","['Breakfast', 'Free Wi-Fi']","IDR 1,000,954"
44,Novotel Jakarta Gajah Mada,4.4,"(5,251)","['Breakfast', 'Free Wi-Fi']","IDR 657,807"
45,Santika Premiere Hayam Wuruk,4.5,"(4,288)","['Free breakfast', 'Free Wi-Fi']","IDR 528,016"
46,Sari Pacific Jakarta,4.5,"(8,544)","['Breakfast', 'Free Wi-Fi']","IDR 839,736"
47,Hotel GranDhika Iskandarsyah,4.5,"(5,255)","['Free breakfast', 'Free Wi-Fi']","IDR 576,049"
48,Sunlake Hotel,4.4,"(7,683)","['Breakfast', 'Free Wi-Fi']","IDR 512,000"
49,THE 1O1 Jakarta Sedayu Darmawangsa,4.5,"(2,630)","['Breakfast', 'Free Wi-Fi']","IDR 558,612"
50,JS Luwansa,4.5,"(7,791)","['Breakfast', 'Free Wi-Fi']","IDR 895,281"
51,Mercure Jakarta Cikini,4.5,"(4,082)","['Breakfast', 'Free Wi-Fi']","IDR 926,353"
52,Hotel Santika Premiere Kota Harapan Indah,4.5,"(6,768)","['Free breakfast', 'Free Wi-Fi']","IDR 584,144"
53,d'primahotel Tangerang,4.4,"(6,468)","['Breakfast', 'Free Wi-Fi']","IDR 449,730"
54,Mercure Convention Center Ancol,4.4,"(10,553)","['Breakfast', 'Free Wi-Fi']","IDR 800,945"
55,DiscoveryAncol,4.3,"(3,727)","['Breakfast', 'Free Wi-Fi']","IDR 611,666"
56,Cosmo Amaroossa Jakarta,4.3,"(3,186)","['Free breakfast', 'Free Wi-Fi']","IDR 396,445"
57,Swiss-Belhotel Mangga Besar,4.4,"(6,154)","['Breakfast', 'Free Wi-Fi']","IDR 515,903"
58,Somerset Sudirman Jakarta,4.6,(115),"['Free Wi-Fi', 'Free parking']","IDR 1,022,813"
59,Avenzel Hotel and Convention Cibubur,4.6,"(3,509)","['Free breakfast', 'Free Wi-Fi']","IDR 809,600"
60,HARRIS Vertu Hotel Harmoni - Jakarta,4.6,"(7,409)","['Breakfast', 'Free Wi-Fi']","IDR 736,124"
61,Mercure Jakarta Simatupang,4.4,"(5,337)","['Breakfast', 'Free Wi-Fi']","IDR 734,404"
62,ASTON Bellevue Radio Dalam,4.3,"(2,796)","['Breakfast', 'Free Wi-Fi']","IDR 571,073"
63,Novotel Jakarta Cikini,4.7,"(2,196)","['Breakfast', 'Free Wi-Fi']","IDR 835,751"
64,The Margo Hotel,4.6,"(9,652)","['Breakfast', 'Free Wi-Fi']","IDR 750,001"
65,Swiss-Belresidences Rasuna Epicentrum,4.5,(906),"['Free breakfast', 'Free Wi-Fi']","IDR 576,300"
66,Sutasoma Hotel,4.7,(296),"['Free breakfast', 'Free Wi-Fi']","IDR 750,323"
67,HARRIS Hotel & Conventions Kelapa Gading,4.6,"(3,931)","['Breakfast', 'Free Wi-Fi']","IDR 702,935"
68,Park Regis Arion,4.3,"(2,302)","['Breakfast', 'Free Wi-Fi']","IDR 454,195"
69,Swiss-Belresidences Kalibata,4.7,"(11,066)","['Breakfast', 'Free Wi-Fi']","IDR 564,119"
70,Ashley Wahid Hasyim Jakarta,4.5,"(4,664)","['Free breakfast', 'Free Wi-Fi']","IDR 680,371"
71,Grand Tropic Suites Hotel Jakarta,4.2,"(3,583)","['Free breakfast', 'Free Wi-Fi']","IDR 461,102"
72,Sotis Hotel Kemang Jakarta,4.5,(423),"['Free breakfast', 'Free Wi-Fi']","IDR 928,571"
73,Kosenda Hotel,4.4,(999),"['Free breakfast', 'Free Wi-Fi']","IDR 600,000"
74,"Holiday Inn Jakarta Kemayoran, an IHG Hotel",4.6,"(7,133)","['Free breakfast', 'Free Wi-Fi']","IDR 1,215,795"
75,Lumire Hotel & Convention Center,4.4,"(6,093)","['Free breakfast', 'Free Wi-Fi']","IDR 850,000"
76,Hotel Bidakara Jakarta,4.5,"(6,787)","['Free breakfast', 'Free Wi-Fi']","IDR 515,970"
77,Veranda Hotel at Pakubuwono,4.4,"(5,939)","['Breakfast', 'Free Wi-Fi']","IDR 582,480"
78,Grand Orchardz Kemayoran,4.6,"(2,393)","['Free breakfast', 'Free Wi-Fi']","IDR 593,149"
79,All Sedayu Hotel Kelapa Gading,4.4,"(2,341)","['Free breakfast', 'Free Wi-Fi']","IDR 599,415"
80,Harper MT. Haryono,4.6,"(9,146)","['Free breakfast', 'Free Wi-Fi']","IDR 542,645"
81,Oasis Amir Hotel,4.1,"(3,870)","['Breakfast', 'Free Wi-Fi']","IDR 411,501"
82,Kristal Hotel,4.4,"(4,445)","['Breakfast', 'Free Wi-Fi']","IDR 616,169"
83,Ascott Jakarta,4.6,"(4,830)","['Breakfast', 'Free Wi-Fi']","IDR 2,208,484"
84,Swiss-Belhotel Airport Jakarta,4.4,"(5,236)","['Free breakfast', 'Free Wi-Fi']","IDR 475,000"
85,FM7 Resort Hotel Jakarta Airport,4.3,"(5,101)","['Free breakfast', 'Free Wi-Fi']","IDR 585,101"
86,YUAN GARDEN Pasar Baru,4.5,"(2,561)","['Free breakfast', 'Free Wi-Fi']","IDR 424,910"
87,Grand Cempaka Business Hotel,4.3,"(5,206)","['Free breakfast', 'Free Wi-Fi']","IDR 499,836"
88,Ra Premiere Simatupang,4.5,(486),"['Breakfast', 'Free Wi-Fi']","IDR 630,786"
89,The Gunawarman,4.5,(637),"['Free breakfast', 'Free Wi-Fi']","IDR 2,000,901"
90,PSW Antasari Hotel,4.6,(880),"['Free breakfast', 'Free Wi-Fi']","IDR 560,774"
91,Hotel Ciputra Cibubur managed by Swiss-Belhotel International,4.6,"(2,973)","['Free breakfast', 'Free Wi-Fi']","IDR 826,317"
92,Aloft Jakarta Wahid Hasyim,4.5,"(2,471)","['Breakfast ($)', 'Free Wi-Fi']","IDR 1,125,456"
93,Redtop Hotel & Convention Center,4.4,"(4,829)","['Breakfast', 'Free Wi-Fi']",DEAL
94,Golden Boutique Hotel Kemayoran,4.4,"(5,016)","['Free breakfast', 'Free Wi-Fi']","IDR 552,500"
95,Ascott Sudirman Jakarta,4.6,"(1,671)","['Breakfast', 'Free Wi-Fi']","IDR 2,114,933"
96,favehotel Bandara - Tangerang,4.3,"(2,061)","['Breakfast', 'Free Wi-Fi']","IDR 372,868"
97,"The Mayflower, Jakarta - Marriott Executive Apartments",4.7,(506),"['Breakfast ($)', 'Free Wi-Fi']","IDR 2,104,816"
98,Aloft South Jakarta,4.7,(748),"['Breakfast ($)', 'Free Wi-Fi']","IDR 781,051"
99,Albergo Ballroom,4.3,"(1,054)","['Free breakfast', 'Free Wi-Fi']","IDR 768,935"
100,Anara Airport Hotel Terminal 3 CGK,4.8,"(1,389)","['Breakfast', 'Free Wi-Fi']","IDR 1,099,999"
101,Golden Boutique Hotel Melawai,4.3,"(1,534)","['Free breakfast', 'Free Wi-Fi']","IDR 436,425"
102,Tondano Residence Jakarta,4.2,(258),"['Free Wi-Fi', 'Free parking']",0
103,Somerset Berlian,4.5,"(3,841)","['Free breakfast', 'Free Wi-Fi']","IDR 1,469,824"
104,Elliottii Residence Duta Niaga,4.6,(78),"['Free Wi-Fi', 'Parking']",0
105,Sparks Luxe Jakarta,4.4,"(3,846)","['Free breakfast', 'Free Wi-Fi']",0
106,Batavia Apartments,4.5,"(1,056)","['Free breakfast', 'Free Wi-Fi']","IDR 714,150"
107,Leisure Inn Arion Hotel,4.3,(426),"['Free breakfast', 'Free Wi-Fi']","IDR 402,900"
108,Nagomi Suites,4.7,(120),"['Breakfast ($)', 'Free Wi-Fi']","IDR 902,700"
109,Citadines Rasuna Jakarta,4.1,(131),"['Breakfast', 'Free Wi-Fi']","IDR 905,222"
110,Twin Plaza Hotel,-,-,"['Free Wi-Fi', 'Air conditioning']",0
111,Midtown Residence,4.1,(116),"['Breakfast', 'Free Wi-Fi']","IDR 693,121"
112,Elliottii Residence Pondok Hijau,4.5,(84),"['Free Wi-Fi', 'Parking']",0
113,Elliottii Residence Alam Asri,4.4,(131),"['Free Wi-Fi', 'Free parking']",0
114,Countrywoods Residences,4.4,(619),"['Free Wi-Fi', 'Parking']",0
