,0,1,2,3,4
136,Puri Jaya Hotel,4.0,"(1,165)","['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
137,Nite & Day Hotel Jakarta Bandengan,4.1,(720),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 158,456"
138,RedDoorz Plus near Plaza Indonesia,4.1,(513),"['Free Wi-Fi', 'Child-friendly']","IDR 178,125"
139,Losari Roxy Hotel,4.0,(803),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 169,065"
140,Zodiak MT Haryono Hotel,3.9,"(1,529)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 247,860"
141,Hotel Grand Menteng,4.0,"(1,148)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 324,879"
142,d'primahotel Melawai,4.1,(591),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 241,230"
143,d'primahotel Airport Jakarta 1,4.2,"(1,083)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 212,796"
144,OYO 989 Audah Guesthouse Syariah,4.1,(639),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Child-friendly']",GREAT DEAL
145,RedDoorz Premium near Ragunan Zoo 2,4.2,(743),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 228,000"
146,RedDoorz Premium near Ragunan Zoo 2,4.2,(743),"['Free Wi-Fi', 'Free parking', 'Child-friendly']","IDR 228,000"
147,Sofyan Hotel Cut Meutia Cikini Menteng Jakarta,4.4,"(3,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 273,532"
148,PAX Hotel Jakarta,4.2,(414),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 264,889"
149,678 Hotel Cawang,4.1,"(1,857)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0
150,Hotel Hollywood,3.8,"(1,007)","['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0
151,Wisma Gading Indah (WGI),4.0,(852),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 99,202"
152,RedDoorz Plus @ Kapuk Business Park,3.6,(966),"['Free Wi-Fi', 'Room service']","IDR 143,784"
153,d'primahotel Airport Jakarta Terminal 1A,4.1,(519),"['Breakfast', 'Free Wi-Fi', 'Restaurant', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 732,992"
154,Puri Mega Hotel,4.0,"(1,244)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 263,305"
155,RedDoorz Plus near Soekarno Hatta Airport 2,4.3,(197),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 136,314"
156,Alivio Suites Kuningan,4.5,(89),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry']",0
157,Airy Thamrin Kota Bumi 31 Jakarta,4.0,(191),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Restaurant', 'Smoke-free property']",0
158,Liberta Hub Blok M Jakarta,4.3,(110),"['Breakfast', 'Free Wi-Fi', 'Parking', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 320,399"
159,Proklamasi Mansion,4.3,(169),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Kitchen in some rooms', 'Full-service laundry', 'Child-friendly']",0
160,OYO 161 Dc Hotel Utan Kayu,3.7,(141),"['Free Wi-Fi', 'Child-friendly']",0
161,Airy Kuningan Karet Pedurenan 41 Jakarta,4.3,(119),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant']",0
162,"Gondia International Guesthouse | Hotel & Kontrakan Terbaik di Menteng, Jakarta Pusat",3.9,(99),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0
163,Airy Tebet Utara Jakarta,4.1,(161),['Child-friendly'],0
164,Airy Eco Syariah Senen Kramat Lima 3G Jakarta,4.3,(174),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Smoke-free property']",0
165,Hotel Andalus RedPartner,4.0,(151),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
166,B Shaw Hotel,4.0,(414),"['Free Wi-Fi', 'Air conditioning']","IDR 168,750"
167,OYO 101 Apple Platinum,4.4,(781),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 193,723"
168,The Gloria Suites Jakarta,3.4,(170),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",GREAT DEAL
169,MaxOneHotels.com Signature @ Glodok,4.3,"(1,399)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 230,850"
170,Urbanest Inn House TB Simatupang,4.5,"(1,094)","['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Breakfast', 'Kitchen in some rooms', 'Accessible']","IDR 215,122"
171,Orchardz Hotel Jayakarta,4.3,"(3,539)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Spa', 'Restaurant', 'Room service']","IDR 364,308"
172,Cemara Hotel,3.9,(649),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 471,475"
173,Putri Duyung Cottage,4.4,"(5,306)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Beach access', 'Restaurant', 'Room service']","IDR 690,136"
174,Sawana Suites,4.2,(979),"['Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 403,629"
175,Cool Living,4.8,(253),"['Free Wi-Fi', 'Free parking', 'Restaurant', 'Full-service laundry']","IDR 328,501"
176,the Pakis,4.4,(225),"['Free Wi-Fi', 'Free parking', 'Fitness centre', 'Breakfast', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']","IDR 310,195"
177,Hotel 88 Fatmawati,4.4,"(2,008)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 320,758"
178,Cipta Hotel Pancoran,4.2,"(1,753)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 357,816"
179,favehotel Margonda - Depok,4.3,"(3,565)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 352,125"
180,Hotel Zia Sanno Jakarta - Pluit,3.9,"(1,015)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 336,941"
181,Nusantara Indah Hotel,4.0,(443),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 207,480"
182,Hotel NEO Puri Indah - Jakarta,4.6,(413),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 336,171"
183,Hotel Tugu Asri,3.9,(247),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 115,365"
184,Hotel Quds Express Syariah,4.1,(471),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 306,738"
185,OYO 4005 Bunga Dahlia Guest House,3.9,"(1,116)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 163,320"
186,Hotel Delua,4.4,(716),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 352,065"
187,RedStar Hotel,4.3,(921),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 234,600"
188,Little Amaroossa Residence,4.1,"(1,070)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 336,628"
189,Capital O 203 Prasada Mansion Sudirman,4.2,"(1,709)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
190,Olympic Hotel,4.3,(632),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 362,659"
191,"Urbanest Inn House Slipi - Exclusive Kost and Homestay | Jakarta Barat, Indonesia",4.6,(440),"['Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning']","IDR 197,936"
192,OYO 119 Belvena Hotel,3.8,(634),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 135,090"
193,Hotel Citradream Bintaro,4.3,"(2,558)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 321,394"
