,0,1,2,3,4
31,favehotel PGC Cililitan,4.3,"(10,550)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 293,741"
32,favehotel Pasar Baru,4.3,"(1,901)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 292,527"
33,Hotel Santika Taman Mini Indonesia Indah,4.3,"(3,757)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 607,416"
34,Holiday Inn Express Jakarta Thamrin,4.3,"(1,771)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 628,967"
35,Titanium Express HomTel,4.2,(685),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Accessible', 'Business centre']","IDR 253,571"
36,Red Planet Jakarta Pasar Baru,4.3,"(3,037)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Accessible', 'Child-friendly', 'Smoke-free property']","IDR 248,511"
37,Grand Cemara Hotel,4.1,"(1,793)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']",DEAL
38,Hotel Bulevar Tanjung Duren Jakarta,3.6,"(1,134)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 181,029"
39,Hotel Gren Alia Jakarta,4.4,"(2,266)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 545,068"
40,MAXWELL Hotel Jakarta,4.2,"(1,223)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 305,996"
41,Kaisar Hotel Jakarta,4.1,"(3,670)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Spa', 'Bar', 'Restaurant']",DEAL
42,YELLO Hotel Harmoni Jakarta,4.5,"(5,491)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant', 'Room service']","IDR 431,641"
43,Maple Hotel Grogol,4.2,"(1,689)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 229,758"
44,Hotel Marcopolo Jakarta,4.3,"(1,065)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 467,432"
45,Ozone Hotel,4.2,"(1,508)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 601,666"
46,Park Hotel Jakarta,4.3,"(3,797)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']",DEAL
47,Arosa Hotel Jakarta.,4.5,"(1,974)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 502,300"
48,Blue Sky Hotel Petamburan,4.2,"(1,869)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 409,368"
49,favehotel LTC Glodok,4.2,"(2,252)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 233,285"
50,favehotel LTC Glodok,4.2,"(2,252)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 233,285"
51,Verse Luxe Hotel Wahid Hasyim,4.2,"(2,101)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 337,707"
52,U Stay Hotel Mangga Besar,4.0,"(1,933)","['Breakfast ($)', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",DEAL
53,Amaris Hotel La Codefin Kemang,4.2,"(1,948)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 298,194"
