,0,1,2,3,4
0,MK HOUSE TENDEAN,4.4,(547),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,024"
1,RedDoorz Plus @ Cideng Barat,4.3,(662),['Free Wi-Fi'],"IDR 241,395"
2,Green Bamboo Residence,4.2,"(1,630)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 162,288"
3,RedDoorz Premium @ Cilandak Timur 2,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']",GREAT DEAL
4,Zest Airport Jakarta by Swiss-Belhotel International,4.2,"(4,237)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 390,621"
5,ibis budget Jakarta Airport,4.2,"(9,527)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 363,825"
6,OYO 266 Margonda Residence 5,4.1,(191),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
7,POP! Hotel Tebet,4.1,"(2,835)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 298,897"
8,OYO 3194 Margonda Executive,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']",GREAT DEAL
9,Amaris Hotel Thamrin City,4.2,"(4,188)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 295,563"
10,An Hotel Jakarta,3.8,(711),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 234,485"
11,Amaris Hotel Slipi Jakarta,4.5,(406),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 353,397"
12,Whiz Hotel Cikini Jakarta,4.1,"(2,892)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 328,020"
13,Clay Hotel,4.0,"(1,548)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 268,344"
14,OYO 3785 Kemayoran Residence,2.8,(101),"['Wi-Fi', 'Free parking', 'Air conditioning']",GREAT DEAL
15,POP! Hotel Airport Jakarta,3.8,"(3,251)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 286,421"
16,Thamrin Condotel,3.7,(346),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 234,000"
17,ibis budget Jakarta Cikini,4.2,"(3,552)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 356,982"
18,Whiz Hotel Falatehan Jakarta,4.1,(676),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 435,773"
19,favehotel Kelapa Gading,4.0,"(2,689)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 234,626"
20,LeGreen Suite Tondano,4.0,(677),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 279,956"
21,ibis budget Jakarta Daan Mogot,4.2,"(2,109)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Full-service laundry']",0
22,Dafam Express Jaksa Jakarta,4.4,(412),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 283,754"
23,Alia Matraman Hotel,4.2,(821),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 300,000"
