,0,1,2,3,4
24,Hotel 88 Mangga Besar 120.,4.2,(889),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 203,889"
25,Cordela Hotel Senen,4.5,"(2,413)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 388,653"
26,LeGreen Suite Senayan,3.9,(507),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 257,620"
27,Amaris Hotel Juanda Jakarta,4.2,"(2,120)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 360,726"
28,Amaris Hotel Seasons City,4.2,"(1,953)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 237,482"
29,Hotel 55,3.8,(780),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 143,962"
30,OYO 1941 Aaa Residence Syariah,4.3,(244),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
31,Casa Living,4.2,(398),"['Free Wi-Fi', 'Air conditioning']","IDR 246,456"
32,Hotel Senen Indah,4.2,"(1,272)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 176,040"
33,Amaris Hotel Senen,4.1,"(1,418)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 294,247"
34,JP Hotel,4.3,"(1,997)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 264,635"
35,Amaris Grogol,4.3,"(1,415)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 296,979"
36,Hotel Alma,4.0,(787),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 141,820"
37,d'primahotel ITC Mangga Dua,4.3,"(1,307)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 192,294"
38,ibis budget Jakarta Menteng,4.0,"(1,581)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 337,150"
39,OYO Flagship 210 Amethyst Kemayoran,4.3,"(1,595)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",DEAL
40,Hotel 88 Mangga Besar VIII,4.1,"(1,556)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Smoke-free property']","IDR 234,750"
41,SUMI Hotel,4.1,(595),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 197,165"
42,Cengkareng Transit Hotel,4.0,"(1,096)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 313,611"
43,LeGreen Suite Kuningan,4.1,(629),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 272,883"
44,Amaris Hotel Tebet,4.1,"(1,951)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 397,469"
45,Hotel Gren Alia Cikini,4.3,"(2,794)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 441,066"
46,Upscale Suites,4.3,(394),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 356,220"
47,Cipta Hotel Wahid Hasyim,4.1,(694),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 283,631"
48,Sotis Residence Pejompongan,4.3,"(1,305)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 387,600"
49,Amaris Hotel Pasar Baru,4.3,"(1,508)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 343,330"
50,Amaris Hotel Dr. Satrio Kuningan - Jakarta,4.1,"(1,090)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 408,789"
51,BI Executive Hotel,4.5,"(1,472)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 402,900"
52,Shakti,4.3,"(1,182)","['Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Business centre', 'Child-friendly']","IDR 236,377"
53,U Stay Hotel Asem Baris Jakarta,4.4,(633),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 364,650"
54,d'primahotel WTC Mangga Dua,4.3,(674),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 233,436"
55,V Hotel Tebet,4.3,"(1,874)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 339,151"
56,SPOT ON 3155 Penginapan Banyu Biru Syariah,3.6,(220),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
57,Hotel Maxim,3.7,(580),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 137,210"
58,Amaris Hotel Pancoran,4.3,"(1,751)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 405,836"
59,OYO 1421 Kasmaran Guest House Syariah,4.2,(230),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Airport shuttle']",DEAL
60,Urbanview Hotel Bes Mangga Besar,3.9,(278),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 178,080"
61,Hotel 88 Kedoya,4.0,"(1,208)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
62,Sun Rise House,4.3,(295),"['Free Wi-Fi', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 187,246"
63,Jambrut Inn Hotel,4.1,(200),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 164,194"
64,LeGreen Suite Supomo,4.3,(322),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",DEAL
65,RedDoorz Plus @ Guntur Raya Setiabudi,4.2,(550),"['Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 276,711"
66,The Nyaman Jakarta,4.5,(372),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']",0
67,Amaris Hotel Bandara Soekarno Hatta,3.9,"(2,478)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 382,380"
68,OYO 148 Cempaka Place Homestay,4.0,(651),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 133,922"
69,Rota Hotel,3.8,(311),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 286,545"
70,RedDoorz near Hayam Wuruk,3.2,(745),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 94,941"
71,C'One Hotel Pulomas,4.2,(502),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service']","IDR 241,923"
72,Cikini Hotel,4.3,"(1,084)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 257,322"
73,Hotel Dragon Inn,4.1,(861),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 357,000"
74,OYO 137 Permata Tawakal,4.0,(332),"['Free Wi-Fi', 'Child-friendly']","IDR 104,933"
75,cityvilla,3.9,(240),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 249,918"
76,OYO 146 Menteng Residence,3.4,(183),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 96,622"
77,RedDoorz Plus @ Cideng Barat,4.3,(662),['Free Wi-Fi'],"IDR 218,238"
78,Golden Mansion,4.1,(215),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 389,944"
79,OYO 123 Puri Lotus,3.8,(317),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 178,942"
80,Collection O 91071 Hotel Desa Wisata Tmii,4.2,(927),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 579,774"
81,LeGreen Suite Tebet,4.1,(480),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 330,137"
82,Hotel Mega Proklamasi,4.0,"(1,050)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
83,RedDoorz near Halim Perdanakusuma 3,4.1,(159),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 224,200"
84,RedDoorz @ Jalan Gatot Subroto Jakarta,4.4,(162),['Free Wi-Fi'],"IDR 214,087"
85,OYO 2416 Griya Otista Syariah,3.8,(160),"['Wi-Fi', 'Air conditioning']","IDR 92,628"
86,OYO 181 Wisma Bintang,3.9,(484),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
87,OYO 2223 J&b Room Utan Kayu,3.6,(213),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",GREAT DEAL
88,OYO 3755 Sweet Home,3.4,(58),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
89,RedDoorz near Kebon Jeruk Jakarta,4.4,(240),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Full-service laundry']","IDR 152,568"
90,OYO 127 W Residence,4.0,(572),"['Free Wi-Fi', 'Air conditioning']","IDR 122,562"
91,RedDoorz near Gajah Mada Plaza 2,3.7,(185),['Free Wi-Fi'],DEAL
92,OYO 2308 Seven Season Residence,3.8,(242),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 109,339"
93,OYO 1868 J&b Room Pramuka,3.6,(155),"['Wi-Fi', 'Free parking', 'Air conditioning']",DEAL
94,Puspita Guesthouse,3.3,(74),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 152,508"
95,Menteng 1 Hotel Jakarta,3.7,(502),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
96,Hotel Transit Pondok Tirta Sentosa,3.8,(196),"['Free parking', 'Air conditioning', 'Room service']",0
97,OYO 1487 Residence Khoe,4.3,(242),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
98,RedDoorz @ Kebon Kacang,3.9,(124),"['Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 153,188"
99,Studio One Hotel,4.1,(603),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Full-service laundry', 'Child-friendly']",0
100,RedDoorz Plus near Tebet,4.5,(258),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 455,269"
101,OYO 3767 Permata House,4.0,(101),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Smoke-free property']","IDR 106,719"
102,TATOR Hotel,3.9,(192),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service']",0
103,OYO 3747 Comfort Residence,4.1,(71),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 149,056"
104,RedDoorz Plus @ Karet Setiabudi,4.1,(293),"['Free Wi-Fi', 'Child-friendly']",0
105,RedDoorz Tanah Abang,3.9,(25),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",GREAT DEAL
106,Airy Eco Setiabudi Tengah 3 Jakarta,3.8,(178),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Breakfast', 'Smoke-free property']",0
107,OYO 169 Kuningan 21,4.0,(227),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0
108,OYO 150 Harmoni Residence,3.5,(66),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0
109,Airy Eco,4.1,(203),"['Free Wi-Fi', 'Air conditioning', 'Parking', 'Smoke-free property']",0
110,kost KWITANG 149,3.9,(146),['Free Wi-Fi'],0
111,OYO 1990 Kost Kuningan Executive Boading House Setiabudi,4.1,(117),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0
112,Harlys Residence,4.1,"(1,460)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0
113,RedDoorz Premium @ Cilandak Timur 2,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']",GREAT DEAL
114,OYO 3194 Margonda Executive,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']",GREAT DEAL
115,Daun Residence,4.5,(205),"['Free Wi-Fi', 'Parking', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 363,125"
116,AMS Penthouse Hotel,4.0,(485),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']",DEAL
117,Gayatri Residence,4.3,(44),"['Free Wi-Fi', 'Pool']","IDR 124,284"
118,Smart Hotel Thamrin Jakarta,3.3,"(1,045)","['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 208,496"
119,The Packer Lodge,4.5,(455),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Airport shuttle', 'Full-service laundry']","IDR 196,029"
120,Bangka Suite,4.6,(260),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Child-friendly']","IDR 238,191"
121,Urbanview Hotel Minongga Pondok Labu,4.1,(462),['Free Wi-Fi'],GREAT DEAL
122,Bobobox Pancoran,4.6,(712),"['Free Wi-Fi', 'Air conditioning']","IDR 207,028"
123,Urbanview Hotel Mroom PH,3.9,(622),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
124,Bold Hotel,4.5,(828),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 178,795"
125,Hotel Istana Bungur,3.7,(431),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']","IDR 128,904"
126,Nite & Day Hotel Mangga Besar,4.1,(625),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Accessible', 'Child-friendly', 'Smoke-free property']","IDR 270,000"
127,MUTIARA SUITES | Jakarta,4.3,(366),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 281,227"
128,Oekude Residence,4.2,(336),"['Free Wi-Fi', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Child-friendly', 'Smoke-free property']",GREAT DEAL
129,Amaris Hotel Panglima Polim,4.2,(901),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 293,520"
130,Augusta Hotel,3.8,(521),"['Free breakfast', 'Free Wi-Fi', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 214,813"
131,MK HOUSE TENDEAN,4.4,(547),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,024"
132,Capsule Hotel New Batavia,4.5,(490),"['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Air conditioning', 'Bar', 'Restaurant', 'Kitchen in some rooms', 'Full-service laundry']","IDR 207,597"
133,ZEN Rooms De 80's Ekonomi,4.0,(207),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 102,586"
134,ZEN Rooms De 80's Ekonomi,4.0,(207),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 102,586"
135,Bangka Bed and Breakfast,4.3,(48),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",DEAL
136,OYO 141 Fatmawati Cozy Residence,3.9,(194),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 178,852"
137,City Style Residence,4.1,(211),['Free Wi-Fi'],DEAL
138,OYO 115 Portal Residence,3.9,(55),['Free Wi-Fi'],"IDR 142,709"
139,The Plaza Hotel Glodok,4.1,(532),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 191,354"
140,Lagura Residence Guest House,4.1,(447),['Free Wi-Fi'],"IDR 166,632"
141,OYO 176 Virgo Residence,4.1,(107),"['Free Wi-Fi', 'Air conditioning']",GREAT DEAL
142,Residence 100,3.8,(345),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 164,924"
143,Icorner Residence,4.2,(344),"['Free Wi-Fi', 'Air conditioning']","IDR 191,474"
144,Hotel Alamanda,4.2,(320),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Child-friendly']","IDR 141,537"
145,Magnolia Hotel,3.9,(295),"['Free Wi-Fi', 'Air conditioning']","IDR 326,858"
146,UniK Guest House,4.3,(24),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 160,000"
147,Green Apple Residence RedPartner,4.1,(164),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",GREAT DEAL
148,U Stay Hotel Gunung Sahari Jakarta,3.7,(616),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 137,210"
149,RedDoorz near Central Park Mall,4.4,(191),['Free Wi-Fi'],"IDR 103,970"
150,Hotel 678 Kemang,4.1,(298),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Hot tub', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",DEAL
151,Hotel Cempaka Sari,3.9,(595),"['Free breakfast', 'Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 149,999"
152,Central Front One Inn Jakarta Airport,4.3,(347),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 252,756"
153,Hotel Mustika Senen,3.9,(463),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 242,842"
154,VK Pods Jakarta @PIK,4.4,(111),"['Free Wi-Fi', 'Air conditioning']","IDR 157,664"
155,LeGreen Suite Poso,4.0,(359),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 272,883"
156,Wonderloft Hostel,4.5,(774),"['Breakfast ($)', 'Free Wi-Fi', 'Air conditioning', 'Parking', 'Airport shuttle', 'Full-service laundry']","IDR 155,724"
157,OYO 1805 Fatmawati Mansion Syariah,4.1,(113),"['Free Wi-Fi', 'Full-service laundry']",GREAT DEAL
158,Focus Hotel,4.1,(433),"['Free Wi-Fi', 'Air conditioning']","IDR 305,595"
159,Twins Manggadua,4.1,(323),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 243,000"
160,Villa Srimanganti,4.3,(959),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Breakfast', 'Child-friendly']",GREAT DEAL
161,OYO 297 45 Residence,4.1,(337),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']",GREAT DEAL
162,Hotel Lautze Indah,3.7,(658),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 136,045"
163,N3 Hotel Zainul Arifin,3.9,(380),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 152,456"
164,LeGreen Suite Penjernihan,4.2,(453),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 279,956"
165,K-Style Eco Hotel Jakarta,4.0,(213),"['Free Wi-Fi', 'Parking', 'Air conditioning']","IDR 131,481"
166,de 80's genteng ijo,4.3,(277),"['Free Wi-Fi', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 168,284"
167,Cilandak Mansion Hotel,4.6,(18),"['Free Wi-Fi', 'Free parking', 'Pool']","IDR 220,239"
168,OYO 2348 Ende Elok,3.8,(332),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 201,287"
169,Losari Hotel,4.0,(416),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 231,792"
