Name,Class,Rating,Total Rater,Facility,Price,Area
Wisma Joglo,2-star hotel,4.3,(586),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Kitchen in some rooms', 'Full-service laundry']","IDR 229,927",Bandung
Amaris Hotel Cimanuk,2-star hotel,4.3,"(1,389)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Accessible']","IDR 567,629",Bandung
dPalma Hotel,2-star hotel,4.1,(538),"['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 301,480",Bandung
Citarum Hotel,2-star hotel,4.4,"(1,327)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 570,001",Bandung
OYO 794 Ln 9 Bandung Guest House,2-star hotel,4.4,(430),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 170,068",Bandung
Hotel Serena,2-star hotel,3.8,"(1,146)","['Free parking', 'Air conditioning', 'Breakfast', 'Child-friendly', 'Smoke-free property']","IDR 288,593",Bandung
Hotel Augusta,2-star hotel,4.1,(758),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 272,768",Bandung
Patradissa hotel Bandung,2-star hotel,4,(615),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 175,000",Bandung
Hotel Victory,2-star hotel,4.1,(311),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 382,499",Bandung
OYO Flagship 90501 Hotel Montameri,2-star hotel,3.9,(301),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 126,037",Bandung
Kembang Hotel,2-star hotel,4.1,"(1,073)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 561,907",Bandung
OYO 3429 Sentra Paskal,2-star hotel,4.1,(70),"['Free Wi-Fi', 'Air conditioning']","IDR 175,772",Bandung
