Name,Class,Rating,Total Rater,Facility,Price,Area
Amaris Grogol,2-star hotel,4.3,"(1,415)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 297,266",Jakarta
LeGreen Suite Senayan,2-star hotel,3.9,(507),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 257,620",Jakarta
Amaris Hotel Senen,2-star hotel,4.1,"(1,418)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 294,532",Jakarta
d'primahotel ITC Mangga Dua,2-star hotel,4.3,"(1,307)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 192,294",Jakarta
ibis budget Jakarta Menteng,2-star hotel,4,"(1,581)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 306,185",Jakarta
Hotel Senen Indah,2-star hotel,4.2,"(1,272)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 173,790",Jakarta
Hotel Alma,2-star hotel,4,(787),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 142,139",Jakarta
SUMI Hotel,2-star hotel,4.1,(595),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 194,645",Jakarta
Amaris Hotel Tebet,2-star hotel,4.1,"(1,952)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 364,320",Jakarta
OYO Flagship 210 Amethyst Kemayoran,2-star hotel,4.3,"(1,595)","['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 161,341",Jakarta
Hotel 88 Mangga Besar VIII,2-star hotel,4.1,"(1,556)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Smoke-free property']","IDR 234,977",Jakarta
Amaris Hotel Pasar Baru,2-star hotel,4.3,"(1,508)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 343,995",Jakarta
Cipta Hotel Wahid Hasyim,2-star hotel,4.1,(695),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 285,511",Jakarta
