Nama,Class,Rating,Total Rater,Facility,Price
Grand Mercure Jakarta Kemayoran,5-star hotel,4.6,"(11,802)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,160,362"
The Grove Suites,5-star hotel,4.5,"(2,841)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 905,283"
Grand Mercure Jakarta Harmoni,5-star hotel,4.5,"(7,819)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,024,126"
Shangri-La Jakarta,5-star hotel,4.7,"(20,560)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,069,934"
"InterContinental Jakarta Pondok Indah, an IHG Hotel",5-star hotel,4.8,"(4,578)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,195,059"
The Sultan Hotel & Residence Jakarta,5-star hotel,4.6,"(12,736)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 960,333"
DoubleTree by Hilton Hotel Jakarta - Diponegoro,5-star hotel,4.6,"(9,800)","['Breakfast ($)', 'Wi-Fi ($)', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,622,837"
Hotel Mulia Senayan Jakarta,5-star hotel,4.7,"(18,397)","['Free breakfast', 'Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,882,280"
Four Seasons Jakarta,5-star hotel,4.7,"(7,454)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,244,855"
"Kemang Icon, ARTOTEL Portfolio",5-star hotel,4.3,(742),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 1,069,975"
Grand Hyatt Jakarta,5-star hotel,4.7,"(6,730)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 3,606,170"
The Orient Hotel Jakarta,5-star hotel,4.8,(149),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,256,836"
Gran Meliá Jakarta,5-star hotel,4.6,"(7,505)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,935,426"
Ayana Midplaza Jakarta,5-star hotel,4.7,"(8,540)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,061,885"
"The Ritz-Carlton Jakarta, Mega Kuningan",5-star hotel,4.7,"(10,070)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,486,140"
The Westin Jakarta,5-star hotel,4.7,"(12,886)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 4,075,138"
Hotel Raffles Jakarta,5-star hotel,4.8,"(8,012)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,797,865"
Le Meridien Jakarta,5-star hotel,4.6,"(10,357)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,105,897"
Sheraton Grand Jakarta Gandaria City Hotel,5-star hotel,4.7,"(8,811)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 2,909,104"
Hotel Gran Mahakam,5-star hotel,4.6,"(4,440)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,008,292"
JW Marriott Hotel Jakarta,5-star hotel,4.6,"(9,740)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,125,543"
Aryaduta Suites Semanggi,5-star hotel,4.5,"(6,807)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 836,028"
"The Dharmawangsa, a Luxury Collection Hotel, Jakarta",5-star hotel,4.6,"(4,439)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,194,906"
Ascott Kuningan Jakarta,5-star hotel,4.7,"(1,986)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 2,153,580"
Swissôtel Jakarta PIK Avenue,5-star hotel,4.7,"(3,799)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,900,000"
Oakwood Premier Cozmo Jakarta,5-star hotel,4.5,"(3,288)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,060,075"
Alila SCBD Jakarta,5-star hotel,4.6,"(1,113)","['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 4,183,601"
"Mandarin Oriental, Jakarta",5-star hotel,4.7,"(6,740)","['Breakfast', 'Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,729,945"
"The Ritz-Carlton Jakarta, Pacific Place",5-star hotel,4.7,"(9,761)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 7,152,628"
Fraser Place Setiabudi,5-star hotel,4.6,"(1,766)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,516,350"
Oakwood Suites La Maison Jakarta,5-star hotel,4.6,(145),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Kitchen in rooms']","IDR 1,824,187"
Fraser Residence Menteng Jakarta,5-star hotel,4.6,"(2,240)","['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Pet-friendly', 'Fitness centre']","IDR 1,205,253"
Fraser Residence Sudirman,5-star hotel,4.6,"(1,506)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,564,444"
"The Hermitage, a Tribute Portfolio Hotel, Jakarta",5-star hotel,4.6,"(3,785)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,184,443"
Ethan Hotel Cilincing Plaza,5-star hotel,4,(255),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 206,167"
