Nama,Class,Rating,Total Rater,Facility,Price
"Mandarin Oriental, Jakarta",5-star hotel,4.7,"(6,740)","['Breakfast', 'Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,184,720"
"The Hermitage, a Tribute Portfolio Hotel, Jakarta",5-star hotel,4.6,"(3,785)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,205,290"
Aryaduta Jakarta,5-star hotel,4.5,"(10,400)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 573,438"
Hotel Indonesia Kempinski Jakarta,5-star hotel,4.7,"(18,071)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,561,376"
"Goodrich Suites, ARTOTEL Portfolio",5-star hotel,4.5,"(1,714)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 930,232"
Wyndham Casablanca Jakarta,5-star hotel,4.6,"(2,051)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 774,187"
Pullman Jakarta Central Park,5-star hotel,4.6,"(7,862)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 2,144,541"
Hotel Borobudur Jakarta,5-star hotel,4.6,"(17,486)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 983,450"
Pullman Jakarta Indonesia Thamrin CBD,5-star hotel,4.7,"(12,773)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,839,385"
Grand Sahid Jaya,5-star hotel,4.4,"(10,239)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 843,331"
Manhattan Hotel Jakarta,5-star hotel,4.3,"(6,185)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 746,538"
Merlynn Park,5-star hotel,4.4,"(9,072)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 635,327"
"The Langham, Jakarta",5-star hotel,4.7,(790),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,366,000"
Artotel Suites Mangkuluhur Jakarta,5-star hotel,4.4,"(4,722)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,162,685"
"The Langham, Jakarta",5-star hotel,4.7,(790),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,366,000"
Artotel Suites Mangkuluhur Jakarta,5-star hotel,4.4,"(4,722)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,162,685"
