Name,Class,Rating,Total Rater,Facility,Price,Area
Liberta Malioboro,2-star hotel,4.6,(239),"['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']",0,Jogjakarta
Malioboro Inn Hotel,2-star hotel,4.2,"(1,276)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 375,232",Jogjakarta
SPOT ON 2419 Rumah Nugraha Hotel Syariah,2-star hotel,2.5,(122),['Air conditioning'],"IDR 54,401",Jogjakarta
Summer Quest Hotel,2-star hotel,4.1,(745),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0,Jogjakarta
Rosalia Indah Hotel,2-star hotel,4.1,(689),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 334,093",Jogjakarta
OYO 2669 Crown Residence,2-star hotel,3.7,(125),['Air conditioning'],"IDR 91,123",Jogjakarta
OYO 3935 Artha Ambarukmo Exclusive,2-star hotel,4,(46),"['Free Wi-Fi', 'Air conditioning']","IDR 237,647",Jogjakarta
Joglo Manggisan penginapan syariah,2-star hotel,4.7,(353),"['Free Wi-Fi', 'Free parking', 'Pool']",0,Jogjakarta
ZEN Rooms Malioboro Sosrowijayan Wetan,2-star hotel,4.3,(6),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Sekar Ayu Hotel Malioboro RedPartner,2-star hotel,4.2,(357),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 168,933",Jogjakarta
RedDoorz Plus near Stadion Mandala Krida,2-star hotel,4,(438),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 99,528",Jogjakarta
Indonesia Hotel,2-star hotel,4.2,(853),"['Free parking', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
OYO 1238 Hotel Perdana,2-star hotel,3.8,(309),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Teratai Guesthouse Yogyakarta RedPartner,2-star hotel,4.1,(28),['Air conditioning'],"IDR 160,000",Jogjakarta
Hotel Serena,2-star hotel,3.8,(289),"['Free Wi-Fi', 'Parking', 'Child-friendly']",0,Jogjakarta
OYO 3280 Cendhani Raras,2-star hotel,4.9,(61),['Free Wi-Fi'],"IDR 215,118",Jogjakarta
Hotel Bifa Yogyakarta,2-star hotel,4,(525),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
OYO 3778 Hotel Wisnugraha Syariah,2-star hotel,4,(249),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Child-friendly']",0,Jogjakarta
Hotel Wisma Ananda,2-star hotel,4.2,(381),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Child-friendly']","IDR 177,061",Jogjakarta
OYO 2469 Cashlez Homestay,2-star hotel,4.6,(72),"['Free Wi-Fi', 'Air conditioning']","IDR 206,202",Jogjakarta
OYO 3083 D Kost Iii Syariah,2-star hotel,4,(90),['Air conditioning'],"IDR 96,686",Jogjakarta
Omah Lawas Homestay,2-star hotel,4.5,(106),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
RedDoorz near UGM 3,2-star hotel,4.2,(231),"['Free Wi-Fi', 'Air conditioning']","IDR 96,396",Jogjakarta
Home Stay H.D.,2-star hotel,4.1,(50),"['Free Wi-Fi', 'Restaurant', 'Child-friendly']",0,Jogjakarta
OYO 690 The 1061 Hom Syariah,2-star hotel,4.3,(61),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
SPOT ON 2107 Ijo Pupus Syariah Residence,2-star hotel,4.5,(65),"['Free Wi-Fi', 'Air conditioning']","IDR 93,600",Jogjakarta
OYO 201 Emdi House Timoho,2-star hotel,4.1,(186),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Kitchen in some rooms', 'Child-friendly']",0,Jogjakarta
Merbabu Hotel,2-star hotel,3.9,(416),"['Breakfast', 'Free Wi-Fi', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
OYO 634 Elga Sastro Inn Syariah,2-star hotel,4.4,(216),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 181,126",Jogjakarta
The Patio Yogya,2-star hotel,4.6,(155),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Parking', 'Bar', 'Airport shuttle', 'Child-friendly']","IDR 240,000",Jogjakarta
AMAYA SUITES,2-star hotel,4,(569),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Child-friendly']","IDR 266,039",Jogjakarta
OYO 572 Omah Gedongkuning Syariah Homestay,2-star hotel,4.4,(129),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 84,686",Jogjakarta
Happy Family Hotel /dekat Malioboro Yogya/Diy.,2-star hotel,4.1,(283),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 600,000",Jogjakarta
Hotel Winotosastro,2-star hotel,4.1,(408),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 133,270",Jogjakarta
Happy Family Hotel /dekat Malioboro Yogya/Diy.,2-star hotel,4.1,(283),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 600,000",Jogjakarta
